  #timestep,                   time,        internal_energy,         kinetic_energy,           beam_contact,         beam_potential,            total_energy
          1,   1.00000000000000e-04,   2.79431927529457e-06,   3.83368528254184e-05,   0.00000000000000e+00,  -1.46850955997576e-01,   -1.46809824825476e-01
          2,   2.00000000000000e-04,   1.41277636931919e-05,   1.39767366058110e-04,   0.00000000000000e+00,  -1.46963775819432e-01,   -1.46809880689681e-01
          3,   3.00000000000000e-04,   3.04853782179443e-05,   2.97709810801267e-04,   0.00000000000000e+00,  -1.47138642649513e-01,   -1.46810447460493e-01
          4,   4.00000000000000e-04,   5.82396601034977e-05,   5.06693642672943e-04,   0.00000000000000e+00,  -1.47376770961892e-01,   -1.46811837659115e-01
          5,   5.00000000000000e-04,   9.40153808794822e-05,   4.13555037997759e-04,   8.83086932632470e-05,  -1.47620606797653e-01,   -1.47024727685512e-01
          6,   6.00000000000000e-04,   1.31183715422274e-04,   6.05491830718751e-04,   2.72459531826942e-05,  -1.47789841468281e-01,   -1.47025919968957e-01
          7,   7.00000000000000e-04,   1.83479532147406e-04,   8.00254959269944e-04,   0.00000000000000e+00,  -1.47909480267184e-01,   -1.46925745775767e-01
          8,   8.00000000000000e-04,   2.52446313847882e-04,   8.76665067320777e-04,   0.00000000000000e+00,  -1.48058964956668e-01,   -1.46929853575500e-01
          9,   9.00000000000000e-04,   3.31629382409026e-04,   1.00819331425033e-03,   0.00000000000000e+00,  -1.48272235696471e-01,   -1.46932412999812e-01
         10,   1.00000000000000e-03,   4.10197269414827e-04,   1.21055531811502e-03,   0.00000000000000e+00,  -1.48555440816526e-01,   -1.46934688228996e-01
         11,   1.10000000000000e-03,   4.88451646022112e-04,   1.48664870035148e-03,   0.00000000000000e+00,  -1.48911934801386e-01,   -1.46936834455013e-01
         12,   1.20000000000000e-03,   5.77769046524420e-04,   1.82902030701683e-03,   0.00000000000000e+00,  -1.49345119528672e-01,   -1.46938330175130e-01
         13,   1.30000000000000e-03,   6.82335081724568e-04,   1.87705800754619e-03,   1.28247409246114e-04,  -1.49771095790428e-01,   -1.47083455291911e-01
         14,   1.40000000000000e-03,   8.01599614061471e-04,   2.24235672757017e-03,   1.10071127240716e-06,  -1.50099439174776e-01,   -1.47054382121872e-01
         15,   1.50000000000000e-03,   9.31686640378371e-04,   2.43814895107706e-03,   0.00000000000000e+00,  -1.50410183790295e-01,   -1.47040348198839e-01
         16,   1.60000000000000e-03,   1.06739240731759e-03,   2.69286013239475e-03,   0.00000000000000e+00,  -1.50801575739887e-01,   -1.47041323200174e-01
         17,   1.70000000000000e-03,   1.19938446401653e-03,   3.04510408229944e-03,   0.00000000000000e+00,  -1.51285584413248e-01,   -1.47041095866932e-01
