  #timestep,                   time,        internal_energy,         kinetic_energy,            total_energy
          2,   2.00000000000000e-02,   6.47145343114331e-09,   2.60242071285779e-07,    2.66713524716922e-07
          4,   4.00000000000000e-02,   1.64677199339321e-07,   3.98806391044527e-06,    4.15274110978459e-06
          6,   6.00000000000000e-02,   1.11853972253936e-06,   1.93678495802549e-05,    2.04863893027942e-05
          8,   8.00000000000000e-02,   4.43046957113681e-06,   5.87413894644452e-05,    6.31718590355821e-05
         10,   1.00000000000000e-01,   1.30280689326017e-05,   1.37541807049556e-04,    1.50569875982158e-04
         12,   1.20000000000000e-01,   3.16766205352381e-05,   2.73204039108698e-04,    3.04880659643936e-04
         14,   1.40000000000000e-01,   6.73975098305714e-05,   4.84118249710241e-04,    5.51515759540813e-04
         16,   1.60000000000000e-01,   1.29656272424105e-04,   7.88798975108206e-04,    9.18455247532311e-04
         18,   1.80000000000000e-01,   2.31097829165679e-04,   1.20451501268261e-03,    1.43561284184829e-03
         20,   2.00000000000000e-01,   3.88094177715909e-04,   1.74606679143893e-03,    2.13416096915484e-03
         22,   2.20000000000000e-01,   6.20130509708453e-04,   2.42537101354161e-03,    3.04550152325006e-03
         24,   2.40000000000000e-01,   9.49447109071010e-04,   3.25156013257238e-03,    4.20100724164339e-03
         26,   2.60000000000000e-01,   1.40160862362857e-03,   4.23099292783116e-03,    5.63260155145972e-03
         28,   2.80000000000000e-01,   2.00336928401937e-03,   5.36755208265122e-03,    7.37092136667060e-03
         30,   3.00000000000000e-01,   2.78096200413288e-03,   6.66254827667548e-03,    9.44351028080836e-03
         32,   3.20000000000000e-01,   3.75925662978700e-03,   8.11445658614782e-03,    1.18737132159348e-02
         34,   3.40000000000000e-01,   4.96131377370572e-03,   9.71928094214210e-03,    1.46805947158478e-02
         36,   3.60000000000000e-01,   6.40805129496555e-03,   1.14712773742160e-02,    1.78793286691816e-02
         38,   3.80000000000000e-01,   8.11865852469956e-03,   1.33631016614454e-02,    2.14817601861450e-02
         40,   4.00000000000000e-01,   1.01110898105185e-02,   1.53857772985861e-02,    2.54968671091045e-02
         42,   4.20000000000000e-01,   1.24032871602991e-02,   1.75284683400501e-02,    2.99317555003492e-02
         44,   4.40000000000000e-01,   1.50134720001125e-02,   1.97783448904609e-02,    3.47918168905735e-02
         46,   4.60000000000000e-01,   1.79571971625291e-02,   2.21215065900902e-02,    4.00787037526193e-02
         48,   4.80000000000000e-01,   2.12474623938141e-02,   2.45448000159316e-02,    4.57922624097457e-02
         50,   5.00000000000000e-01,   2.48954531109619e-02,   2.70372718640288e-02,    5.19327249749907e-02
         52,   5.20000000000000e-01,   2.88930323009112e-02,   2.93313320501617e-02,    5.82243643510729e-02
         54,   5.40000000000000e-01,   3.31737374776430e-02,   3.11488734962042e-02,    6.43226109738472e-02
         56,   5.60000000000000e-01,   3.76459791671008e-02,   3.24911586348845e-02,    7.01371378019853e-02
         58,   5.80000000000000e-01,   4.22098276089733e-02,   3.33883897408774e-02,    7.55982173498508e-02
         60,   6.00000000000000e-01,   4.67627733423431e-02,   3.38926267805752e-02,    8.06554001229183e-02
         62,   6.20000000000000e-01,   5.12046869665544e-02,   3.40710069464351e-02,    8.52756939129895e-02
         64,   6.40000000000000e-01,   5.54403917919055e-02,   3.40009200212504e-02,    8.94413118131560e-02
         66,   6.60000000000000e-01,   5.93813151310662e-02,   3.37669154376732e-02,    9.31482305687394e-02
         68,   6.80000000000000e-01,   6.29449155531976e-02,   3.34575696641858e-02,    9.64024852173835e-02
         70,   7.00000000000000e-01,   6.60542350050275e-02,   3.31620297141106e-02,    9.92162647191381e-02
         72,   7.20000000000000e-01,   6.86408536691593e-02,   3.29666236161401e-02,    1.01607477285299e-01
         74,   7.40000000000000e-01,   7.06465637099616e-02,   3.29511010358071e-02,    1.03597664745769e-01
         76,   7.60000000000000e-01,   7.20248862739564e-02,   3.31846966896817e-02,    1.05209582963638e-01
         78,   7.80000000000000e-01,   7.27457636909006e-02,   3.37228228494608e-02,    1.06468586540361e-01
         80,   8.00000000000000e-01,   7.27995952847482e-02,   3.46031789258637e-02,    1.07402774210612e-01
         82,   8.20000000000001e-01,   7.22011181656656e-02,   3.58416787079287e-02,    1.08042796873594e-01
         84,   8.40000000000001e-01,   7.09915400162280e-02,   3.74304390078060e-02,    1.08421979024034e-01
         86,   8.60000000000001e-01,   6.92379464187279e-02,   3.93383418706960e-02,    1.08576288289424e-01
         88,   8.80000000000001e-01,   6.70310888411953e-02,   4.15139381151279e-02,    1.08545026956323e-01
         90,   9.00000000000001e-01,   6.44823614923851e-02,   4.38897817099880e-02,    1.08372143202373e-01
         92,   9.20000000000001e-01,   6.17201511446561e-02,   4.63856458474910e-02,    1.08105796992147e-01
         94,   9.40000000000001e-01,   5.88887742463232e-02,   4.89092659146645e-02,    1.07798040160988e-01
         96,   9.60000000000001e-01,   5.61478700280979e-02,   5.13570762013658e-02,    1.07504946229464e-01
         98,   9.80000000000001e-01,   5.36698914200620e-02,   5.36151039265332e-02,    1.07284995346595e-01
        100,   1.00000000000000e+00,   5.16362554928777e-02,   5.55610181891257e-02,    1.07197273682003e-01
        102,   1.02000000000000e+00,   5.02335389448123e-02,   5.69618027523546e-02,    1.07195341697167e-01
        104,   1.04000000000000e+00,   4.96437801880420e-02,   5.75498763134696e-02,    1.07193656501512e-01
        106,   1.06000000000000e+00,   5.00117026863476e-02,   5.71806784072490e-02,    1.07192381093597e-01
        108,   1.08000000000000e+00,   5.14212135415907e-02,   5.57705847213376e-02,    1.07191798262928e-01
        110,   1.10000000000000e+00,   5.38820604327222e-02,   5.33099229648517e-02,    1.07191983397574e-01
        112,   1.12000000000000e+00,   5.73239208476977e-02,   4.98688922604445e-02,    1.07192813108142e-01
        114,   1.14000000000000e+00,   6.16008914890918e-02,   4.55933577620292e-02,    1.07194249251121e-01
        116,   1.16000000000000e+00,   6.65083701317307e-02,   4.06876838814116e-02,    1.07196054013142e-01
        118,   1.18000000000000e+00,   7.18052472127732e-02,   3.53926435908530e-02,    1.07197890803626e-01
        120,   1.20000000000000e+00,   7.72368110248588e-02,   2.99628161015123e-02,    1.07199627126371e-01
        122,   1.22000000000000e+00,   8.25561750023822e-02,   2.46449377193828e-02,    1.07201112721765e-01
        124,   1.24000000000000e+00,   8.75397140534975e-02,   1.96625575036657e-02,    1.07202271557163e-01
        126,   1.26000000000000e+00,   9.19979566866591e-02,   1.52051751302936e-02,    1.07203131816953e-01
        128,   1.28000000000000e+00,   9.57826918705408e-02,   1.14210288243439e-02,    1.07203720694885e-01
        130,   1.30000000000000e+00,   9.87892805255372e-02,   8.41481686875079e-03,    1.07204097394288e-01
        132,   1.32000000000000e+00,   1.00954215638121e-01,   6.25013275243060e-03,    1.07204348390551e-01
        134,   1.34000000000000e+00,   1.02248306526577e-01,   4.95620253592529e-03,    1.07204509062502e-01
        136,   1.36000000000000e+00,   1.02666715901549e-01,   4.53789122468985e-03,    1.07204607126239e-01
        138,   1.38000000000000e+00,   1.02219265225741e-01,   4.98541491533344e-03,    1.07204680141075e-01
        140,   1.40000000000000e+00,   1.00922687395975e-01,   6.28204842996349e-03,    1.07204735825938e-01
        142,   1.42000000000000e+00,   9.87957573218255e-02,   8.40901625640468e-03,    1.07204773578230e-01
        144,   1.44000000000000e+00,   9.58576136042106e-02,   1.13471745853652e-02,    1.07204788189576e-01
        146,   1.46000000000000e+00,   9.21291663955636e-02,   1.50755832282087e-02,    1.07204749623772e-01
        148,   1.48000000000000e+00,   8.76373239834113e-02,   1.95672858678117e-02,    1.07204609851223e-01
        150,   1.50000000000000e+00,   8.24229546639557e-02,   2.47813465385563e-02,    1.07204301202512e-01
        152,   1.52000000000000e+00,   7.65528947052385e-02,   3.06507923388135e-02,    1.07203687044052e-01
        154,   1.54000000000000e+00,   7.01341049458299e-02,   3.70684790081347e-02,    1.07202583953965e-01
        156,   1.56000000000000e+00,   6.33267020121693e-02,   4.38740702950134e-02,    1.07200772307183e-01
        158,   1.58000000000000e+00,   5.63526375666330e-02,   5.08453257307941e-02,    1.07197963297427e-01
        160,   1.60000000000000e+00,   4.94962001604115e-02,   5.76976842450112e-02,    1.07193884405423e-01
        162,   1.62000000000000e+00,   4.30940793179681e-02,   6.40944171611405e-02,    1.07188496479109e-01
        164,   1.64000000000000e+00,   3.75129592249356e-02,   6.96690752786376e-02,    1.07182034503573e-01
        166,   1.66000000000000e+00,   3.31098295622941e-02,   7.40655188807375e-02,    1.07175348443032e-01
        168,   1.68000000000000e+00,   3.01752217025339e-02,   7.69946536963605e-02,    1.07169875398894e-01
