  #timestep,                   time,        internal_energy,         kinetic_energy,           beam_contact,         beam_potential,            total_energy
          1,   1.00000000000000e-02,   1.81898746543710e+01,   0.00000000000000e+00,   0.00000000000000e+00,   0.00000000000000e+00,    1.81898746543710e+01
          2,   2.00000000000000e-02,   1.81898746543710e+01,   0.00000000000000e+00,   0.00000000000000e+00,   0.00000000000000e+00,    1.81898746543710e+01
          3,   3.00000000000000e-02,   1.81898746543710e+01,   0.00000000000000e+00,   0.00000000000000e+00,   0.00000000000000e+00,    1.81898746543710e+01
          4,   4.00000000000000e-02,   1.81898746543710e+01,   0.00000000000000e+00,   0.00000000000000e+00,   0.00000000000000e+00,    1.81898746543710e+01
          5,   5.00000000000000e-02,   1.81898746543710e+01,   0.00000000000000e+00,   0.00000000000000e+00,   0.00000000000000e+00,    1.81898746543710e+01
          6,   6.00000000000000e-02,   1.81898746543710e+01,   0.00000000000000e+00,   0.00000000000000e+00,   0.00000000000000e+00,    1.81898746543710e+01
          7,   7.00000000000000e-02,   1.81898746543710e+01,   0.00000000000000e+00,   0.00000000000000e+00,   0.00000000000000e+00,    1.81898746543710e+01
          8,   8.00000000000000e-02,   1.81898746543710e+01,   0.00000000000000e+00,   0.00000000000000e+00,   0.00000000000000e+00,    1.81898746543710e+01
          9,   9.00000000000000e-02,   1.81898746543710e+01,   0.00000000000000e+00,   0.00000000000000e+00,   0.00000000000000e+00,    1.81898746543710e+01
         10,   1.00000000000000e-01,   1.81898746543710e+01,   0.00000000000000e+00,   0.00000000000000e+00,   0.00000000000000e+00,    1.81898746543710e+01
         11,   1.10000000000000e-01,   1.81898746543710e+01,   0.00000000000000e+00,   0.00000000000000e+00,   0.00000000000000e+00,    1.81898746543710e+01
         12,   1.20000000000000e-01,   1.81898746543710e+01,   0.00000000000000e+00,   0.00000000000000e+00,   0.00000000000000e+00,    1.81898746543710e+01
         13,   1.30000000000000e-01,   1.81898746543710e+01,   0.00000000000000e+00,   0.00000000000000e+00,   0.00000000000000e+00,    1.81898746543710e+01
         14,   1.40000000000000e-01,   1.81899947174196e+01,   0.00000000000000e+00,   3.68473457762475e-06,   0.00000000000000e+00,    1.81899984021542e+01
         15,   1.50000000000000e-01,   1.81905167381329e+01,   0.00000000000000e+00,   1.29888556454349e-05,   0.00000000000000e+00,    1.81905297269886e+01
         16,   1.60000000000000e-01,   1.81914603410045e+01,   0.00000000000000e+00,   2.56972132415823e-05,   0.00000000000000e+00,    1.81914860382178e+01
         17,   1.70000000000000e-01,   1.81928322414907e+01,   0.00000000000000e+00,   4.12650388896263e-05,   0.00000000000000e+00,    1.81928735065296e+01
         18,   1.80000000000000e-01,   1.81946403586262e+01,   0.00000000000000e+00,   5.94875657313199e-05,   0.00000000000000e+00,    1.81946998461919e+01
         19,   1.90000000000000e-01,   1.81968943656744e+01,   0.00000000000000e+00,   8.03152205405833e-05,   0.00000000000000e+00,    1.81969746808949e+01
         20,   2.00000000000000e-01,   1.81996058707232e+01,   0.00000000000000e+00,   1.03791651911711e-04,   0.00000000000000e+00,    1.81997096623752e+01
         21,   2.10000000000000e-01,   1.82027884937622e+01,   0.00000000000000e+00,   1.30025846457771e-04,   0.00000000000000e+00,    1.82029185196086e+01
         22,   2.20000000000000e-01,   1.82064579028454e+01,   0.00000000000000e+00,   1.59177485854534e-04,   0.00000000000000e+00,    1.82066170803313e+01
         23,   2.30000000000000e-01,   1.82106318305009e+01,   0.00000000000000e+00,   1.91448507734726e-04,   0.00000000000000e+00,    1.82108232790086e+01
         24,   2.40000000000000e-01,   1.82153300791792e+01,   0.00000000000000e+00,   2.27077952981103e-04,   0.00000000000000e+00,    1.82155571571322e+01
         25,   2.50000000000000e-01,   1.82205745199506e+01,   0.00000000000000e+00,   2.66338711872816e-04,   0.00000000000000e+00,    1.82208408586625e+01
         26,   2.60000000000000e-01,   1.82263890866851e+01,   0.00000000000000e+00,   3.09535439286079e-04,   0.00000000000000e+00,    1.82266986221244e+01
         27,   2.70000000000000e-01,   1.82327997670119e+01,   0.00000000000000e+00,   3.57003224099095e-04,   0.00000000000000e+00,    1.82331567702360e+01
