  #timestep,                   time,        internal_energy,         kinetic_energy,            total_energy
          1,   1.00000000000000e-02,   2.91995641903524e-10,   1.66358427106713e-08,    1.69278383525748e-08
          2,   2.00000000000000e-02,   6.47149214732659e-09,   2.60242181845303e-07,    2.66713673992629e-07
          3,   3.00000000000000e-02,   4.28350724037158e-08,   1.28932694906252e-06,    1.33216202146623e-06
          4,   4.00000000000000e-02,   1.64677642838290e-07,   3.98806525102506e-06,    4.15274289386335e-06
          5,   5.00000000000000e-02,   4.71163689792684e-07,   9.53555965540696e-06,    1.00067233451996e-05
          6,   6.00000000000000e-02,   1.11854157705294e-06,   1.93678552501383e-05,    2.04863968271913e-05
          7,   7.00000000000000e-02,   2.33409756415498e-06,   3.51514425948673e-05,    3.74855401590222e-05
          8,   8.00000000000000e-02,   4.43047472074717e-06,   5.87414051484929e-05,    6.31718798692401e-05
          9,   9.00000000000000e-02,   7.81994562645354e-06,   9.21578545756245e-05,    9.99778002020781e-05
         10,   1.00000000000000e-01,   1.30280803828646e-05,   1.37541841386585e-04,    1.50569921769449e-04
         11,   1.10000000000000e-01,   2.07115214081868e-05,   1.97130135728449e-04,    2.17841657136636e-04
         12,   1.20000000000000e-01,   3.16766426183542e-05,   2.73204103959735e-04,    3.04880746578089e-04
         13,   1.30000000000000e-01,   4.68744388668716e-05,   3.68088012833570e-04,    4.14962451700441e-04
         14,   1.40000000000000e-01,   6.73975484153444e-05,   4.84118360204608e-04,    5.51515908619953e-04
         15,   1.50000000000000e-01,   9.45049085148030e-05,   6.23612124907502e-04,    7.18117033422305e-04
         16,   1.60000000000000e-01,   1.29656335769873e-04,   7.88799148898318e-04,    9.18455484668192e-04
         17,   1.70000000000000e-01,   1.74542248254109e-04,   9.81786972218698e-04,    1.15632922047281e-03
         18,   1.80000000000000e-01,   2.31097927726357e-04,   1.20451527000707e-03,    1.43561319773343e-03
         19,   1.90000000000000e-01,   3.01493044723413e-04,   1.45875028699541e-03,    1.76024333171882e-03
         20,   2.00000000000000e-01,   3.88094323281183e-04,   1.74606715520597e-03,    2.13416147848716e-03
         21,   2.10000000000000e-01,   4.93419810729541e-04,   2.06786524622598e-03,    2.56128505695552e-03
