  #timestep,                   time,        internal_energy,         kinetic_energy,            total_energy
          1,   1.00000000000000e-02,   2.91991274291504e-10,   1.66358343393106e-08,    1.69278256136021e-08
          2,   2.00000000000000e-02,   6.47145301981032e-09,   2.60242069879203e-07,    2.66713522899013e-07
          3,   3.00000000000000e-02,   4.28349078204382e-08,   1.28932646345272e-06,    1.33216137127316e-06
          4,   4.00000000000000e-02,   1.64677191153770e-07,   3.98806389045744e-06,    4.15274108161121e-06
          5,   5.00000000000000e-02,   4.71162694480251e-07,   9.53555663947177e-06,    1.00067193339520e-05
          6,   6.00000000000000e-02,   1.11853967470320e-06,   1.93678494822360e-05,    2.04863891569391e-05
          7,   7.00000000000000e-02,   2.33409426640814e-06,   3.51514326286318e-05,    3.74855268950399e-05
          8,   8.00000000000000e-02,   4.43046939480791e-06,   5.87413891631402e-05,    6.31718585579481e-05
          9,   9.00000000000000e-02,   7.81993748176980e-06,   9.21578303537361e-05,    9.99777678355059e-05
         10,   1.00000000000000e-01,   1.30280684375621e-05,   1.37541806304848e-04,    1.50569874742411e-04
         11,   1.10000000000000e-01,   2.07115044855441e-05,   1.97130086739905e-04,    2.17841591225449e-04
         12,   1.20000000000000e-01,   3.16766193407264e-05,   2.73204037557739e-04,    3.04880656898465e-04
         13,   1.30000000000000e-01,   4.68744076384042e-05,   3.68087925059867e-04,    4.14962332698271e-04
         14,   1.40000000000000e-01,   6.73975072851847e-05,   4.84118246744720e-04,    5.51515754029904e-04
         15,   1.50000000000000e-01,   9.45048551609228e-05,   6.23611981106869e-04,    7.18116836267792e-04
         16,   1.60000000000000e-01,   1.29656267470481e-04,   7.88798969757965e-04,    9.18455237228445e-04
         17,   1.70000000000000e-01,   1.74542161964417e-04,   9.81786752338838e-04,    1.15632891430325e-03
         18,   1.80000000000000e-01,   2.31097820099143e-04,   1.20451500355526e-03,    1.43561282365440e-03
         19,   1.90000000000000e-01,   3.01492912160119e-04,   1.45874996766784e-03,    1.76024287982796e-03
         20,   2.00000000000000e-01,   3.88094161847783e-04,   1.74606677624987e-03,    2.13416093809765e-03
         21,   2.10000000000000e-01,   4.93419616010825e-04,   2.06786480047916e-03,    2.56128441648998e-03
         22,   2.20000000000000e-01,   6.20130483203712e-04,   2.42537098872388e-03,    3.04550147192759e-03
         23,   2.30000000000000e-01,   7.71096259664607e-04,   2.81964532752061e-03,    3.59074158718522e-03
         24,   2.40000000000000e-01,   9.49447067114331e-04,   3.25156009292209e-03,    4.20100716003642e-03
         25,   2.50000000000000e-01,   1.15849696360241e-03,   3.72182367859239e-03,    4.88032064219480e-03
         26,   2.60000000000000e-01,   1.40160855936265e-03,   4.23099286569259e-03,    5.63260142505524e-03
         27,   2.70000000000000e-01,   1.68212618528617e-03,   4.77948420319162e-03,    6.46161038847779e-03
         28,   2.80000000000000e-01,   2.00336918711870e-03,   5.36755198865070e-03,    7.37092117576940e-03
         29,   2.90000000000000e-01,   2.36859548832495e-03,   5.99527572810724e-03,    8.36387121643219e-03
         30,   3.00000000000000e-01,   2.78096186001611e-03,   6.66254813973238e-03,    9.44350999974849e-03
         31,   3.10000000000000e-01,   3.24352905808441e-03,   7.36908921581636e-03,    1.06126182739008e-02
         32,   3.20000000000000e-01,   3.75925641957648e-03,   8.11445639230802e-03,    1.18737128118845e-02
         33,   3.30000000000000e-01,   4.33096147357136e-03,   8.89807739796284e-03,    1.32290388715342e-02
         34,   3.40000000000000e-01,   4.96131347367988e-03,   9.71928067586821e-03,    1.46805941495481e-02
         35,   3.50000000000000e-01,   5.65286310513137e-03,   1.05773029705723e-02,    1.62301660757036e-02
         36,   3.60000000000000e-01,   6.40805087713848e-03,   1.14712770183322e-02,    1.78793278954706e-02
         37,   3.70000000000000e-01,   7.22922522514907e-03,   1.24002333695061e-02,    1.96294585946551e-02
         38,   3.80000000000000e-01,   8.11865795800066e-03,   1.33631011971315e-02,    2.14817591551321e-02
         39,   3.90000000000000e-01,   9.07854807842084e-03,   1.43587107993945e-02,    2.34372588778153e-02
         40,   4.00000000000000e-01,   1.01110890614517e-02,   1.53857767054078e-02,    2.54968657668596e-02
         41,   4.10000000000000e-01,   1.12185554138289e-02,   1.64428804088625e-02,    2.76614358226914e-02
         42,   4.20000000000000e-01,   1.24032861969209e-02,   1.75284675956539e-02,    2.99317537925749e-02
         43,   4.30000000000000e-01,   1.36675659811711e-02,   1.86408713102081e-02,    3.23084372913791e-02
         44,   4.40000000000000e-01,   1.50134707876678e-02,   1.97783439688638e-02,    3.47918147565316e-02
         45,   4.50000000000000e-01,   1.64428014842382e-02,   2.09391240874643e-02,    3.73819255717024e-02
         46,   4.60000000000000e-01,   1.79571956628138e-02,   2.21215054637259e-02,    4.00787011265396e-02
         47,   4.70000000000000e-01,   1.95582453462334e-02,   2.33238857236218e-02,    4.28821310698552e-02
         48,   4.80000000000000e-01,   2.12474605767618e-02,   2.45447986562585e-02,    4.57922592330203e-02
         49,   4.90000000000000e-01,   2.30261709018377e-02,   2.57829517038703e-02,    4.88091226057080e-02
         50,   5.00000000000000e-01,   2.48954509517867e-02,   2.70372702437676e-02,    5.19327211955542e-02
         51,   5.10000000000000e-01,   2.68535196614479e-02,   2.82425765371268e-02,    5.50960961985748e-02
