  #timestep,                   time,        internal_energy,         kinetic_energy,            total_energy
          1,   1.00000000000000e-02,   2.91991274291504e-10,   1.66358343393106e-08,    1.69278256136021e-08
          2,   2.00000000000000e-02,   6.47145301981032e-09,   2.60242069879203e-07,    2.66713522899013e-07
          3,   3.00000000000000e-02,   4.28349078204382e-08,   1.28932646345272e-06,    1.33216137127316e-06
          4,   4.00000000000000e-02,   1.64677191153770e-07,   3.98806389045744e-06,    4.15274108161120e-06
          5,   5.00000000000000e-02,   4.71162694480251e-07,   9.53555663947176e-06,    1.00067193339520e-05
          6,   6.00000000000000e-02,   1.11853967470320e-06,   1.93678494822360e-05,    2.04863891569392e-05
          7,   7.00000000000000e-02,   2.33409426640814e-06,   3.51514326286318e-05,    3.74855268950399e-05
          8,   8.00000000000000e-02,   4.43046939480791e-06,   5.87413891631402e-05,    6.31718585579481e-05
          9,   9.00000000000000e-02,   7.81993748176980e-06,   9.21578303537362e-05,    9.99777678355060e-05
         10,   1.00000000000000e-01,   1.30280684375621e-05,   1.37541806304849e-04,    1.50569874742411e-04
         11,   1.10000000000000e-01,   2.07115044855441e-05,   1.97130086739906e-04,    2.17841591225450e-04
         12,   1.20000000000000e-01,   3.16766193407264e-05,   2.73204037557739e-04,    3.04880656898465e-04
         13,   1.30000000000000e-01,   4.68744076384042e-05,   3.68087925059867e-04,    4.14962332698272e-04
         14,   1.40000000000000e-01,   6.73975072852040e-05,   4.84118246744721e-04,    5.51515754029925e-04
         15,   1.50000000000000e-01,   9.45048551609209e-05,   6.23611981106860e-04,    7.18116836267781e-04
         16,   1.60000000000000e-01,   1.29656267470475e-04,   7.88798969757964e-04,    9.18455237228440e-04
         17,   1.70000000000000e-01,   1.74542161964403e-04,   9.81786752338824e-04,    1.15632891430323e-03
         18,   1.80000000000000e-01,   2.31097820099098e-04,   1.20451500355524e-03,    1.43561282365434e-03
         19,   1.90000000000000e-01,   3.01492912160108e-04,   1.45874996766794e-03,    1.76024287982805e-03
         20,   2.00000000000000e-01,   3.88094161847780e-04,   1.74606677624973e-03,    2.13416093809752e-03
         21,   2.10000000000000e-01,   4.93419616010761e-04,   2.06786480047945e-03,    2.56128441649022e-03
         22,   2.20000000000000e-01,   6.20130483203746e-04,   2.42537098872372e-03,    3.04550147192747e-03
         23,   2.30000000000000e-01,   7.71096259664606e-04,   2.81964532752109e-03,    3.59074158718570e-03
         24,   2.40000000000000e-01,   9.49447067114439e-04,   3.25156009292189e-03,    4.20100716003632e-03
         25,   2.50000000000000e-01,   1.15849696360245e-03,   3.72182367859300e-03,    4.88032064219545e-03
         26,   2.60000000000000e-01,   1.40160855936274e-03,   4.23099286569254e-03,    5.63260142505529e-03
         27,   2.70000000000000e-01,   1.68212618528622e-03,   4.77948420319191e-03,    6.46161038847812e-03
         28,   2.80000000000000e-01,   2.00336918711868e-03,   5.36755198865127e-03,    7.37092117576995e-03
         29,   2.90000000000000e-01,   2.36859548832491e-03,   5.99527572810646e-03,    8.36387121643137e-03
         30,   3.00000000000000e-01,   2.78096186001624e-03,   6.66254813973365e-03,    9.44350999974989e-03
         31,   3.10000000000000e-01,   3.24352905808444e-03,   7.36908921581414e-03,    1.06126182738986e-02
         32,   3.20000000000000e-01,   3.75925641957693e-03,   8.11445639231059e-03,    1.18737128118875e-02
         33,   3.30000000000000e-01,   4.33096147357144e-03,   8.89807739795867e-03,    1.32290388715301e-02
         34,   3.40000000000000e-01,   4.96131347368005e-03,   9.71928067587317e-03,    1.46805941495532e-02
         35,   3.50000000000000e-01,   5.65286310513144e-03,   1.05773029705652e-02,    1.62301660756966e-02
         36,   3.60000000000000e-01,   6.40805087713872e-03,   1.14712770183406e-02,    1.78793278954793e-02
         37,   3.70000000000000e-01,   7.22922522514905e-03,   1.24002333694948e-02,    1.96294585946439e-02
         38,   3.80000000000000e-01,   8.11865795800035e-03,   1.33631011971439e-02,    2.14817591551443e-02
         39,   3.90000000000000e-01,   9.07854807842087e-03,   1.43587107993793e-02,    2.34372588778002e-02
         40,   4.00000000000000e-01,   1.01110890614519e-02,   1.53857767054232e-02,    2.54968657668752e-02
         41,   4.10000000000000e-01,   1.12185554138294e-02,   1.64428804088441e-02,    2.76614358226736e-02
         42,   4.20000000000000e-01,   1.24032861969206e-02,   1.75284675956707e-02,    2.99317537925913e-02
         43,   4.30000000000000e-01,   1.36675659811708e-02,   1.86408713101887e-02,    3.23084372913594e-02
         44,   4.40000000000000e-01,   1.50134707876677e-02,   1.97783439688820e-02,    3.47918147565498e-02
         45,   4.50000000000000e-01,   1.64428014842372e-02,   2.09391240874440e-02,    3.73819255716812e-02
         46,   4.60000000000000e-01,   1.79571956628130e-02,   2.21215054637469e-02,    4.00787011265599e-02
         47,   4.70000000000000e-01,   1.95582453462329e-02,   2.33238857235992e-02,    4.28821310698321e-02
         48,   4.80000000000000e-01,   2.12474605767617e-02,   2.45447986562820e-02,    4.57922592330437e-02
         49,   4.90000000000000e-01,   2.30261709018368e-02,   2.57829517038465e-02,    4.88091226056833e-02
         50,   5.00000000000000e-01,   2.48954509517856e-02,   2.70372702437939e-02,    5.19327211955795e-02
         51,   5.10000000000000e-01,   2.68535196614471e-02,   2.82425765371008e-02,    5.50960961985479e-02
