  #timestep,                   time,        internal_energy,         kinetic_energy,            total_energy
          1,   2.00000000000000e-02,   3.33437321620988e-10,   4.40286626392476e-05,    4.40289960765692e-05
          2,   4.00000000000000e-02,   5.49196101116660e-02,   1.08569414246872e-04,    5.50281795259129e-02
          3,   6.00000000000000e-02,   2.97135300846355e-01,   5.59551623257682e-05,    2.97191256008680e-01
          4,   8.00000000000000e-02,   7.28929313110181e-01,   1.11295771440594e-04,    7.29040608881621e-01
          5,   1.00000000000000e-01,   1.34616227564683e+00,   5.77873509836968e-05,    1.34622006299781e+00
          6,   1.20000000000000e-01,   2.14440848526784e+00,   1.13391965634864e-04,    2.14452187723347e+00
          7,   1.40000000000000e-01,   3.11902324088404e+00,   6.00448648929395e-05,    3.11908328574893e+00
          8,   1.60000000000000e-01,   4.26506135060315e+00,   1.14859541820900e-04,    4.26517621014497e+00
          9,   1.80000000000000e-01,   5.57747321726921e+00,   6.27995097071007e-05,    5.57753601677892e+00
         10,   2.00000000000000e-01,   7.05083213388787e+00,   1.15700527939622e-04,    7.05094783441581e+00
         11,   2.20000000000000e-01,   8.67980724788741e+00,   6.61267206046780e-05,    8.67987337460801e+00
         12,   2.40000000000000e-01,   1.04585234902889e+01,   1.15917370029472e-04,    1.04586394076590e+01
         13,   2.60000000000000e-01,   1.23815233314595e+01,   7.01006782743306e-05,    1.23815934321378e+01
         14,   2.80000000000000e-01,   1.44425200222028e+01,   1.15513314216115e-04,    1.44426355355170e+01
         15,   3.00000000000000e-01,   1.66361197195884e+01,   7.47870567115915e-05,    1.66361945066451e+01
         16,   3.20000000000000e-01,   1.89556730317283e+01,   1.14493002608112e-04,    1.89557875247309e+01
         17,   3.40000000000000e-01,   2.13960764725188e+01,   8.02329599344533e-05,    2.13961567054787e+01
         18,   3.60000000000000e-01,   2.39503880155752e+01,   1.12863247255699e-04,    2.39505008788225e+01
         19,   3.80000000000000e-01,   2.66140531232628e+01,   8.64539942676257e-05,    2.66141395772571e+01
         20,   4.00000000000000e-01,   2.93799352483158e+01,   1.10634181871962e-04,    2.93800458824977e+01
         21,   4.20000000000000e-01,   3.22443096635444e+01,   9.34191615367225e-05,    3.22444030827060e+01
         22,   4.40000000000000e-01,   3.51999764743187e+01,   1.07821286459429e-04,    3.52000842956052e+01
         23,   4.60000000000000e-01,   3.82443292745816e+01,   1.01035557545487e-04,    3.82444303101392e+01
         24,   4.80000000000000e-01,   4.13702696435078e+01,   1.04448786402856e-04,    4.13703740922942e+01
         25,   5.00000000000000e-01,   4.45765865828478e+01,   1.09136377619741e-04,    4.45766957192254e+01
         26,   5.20000000000000e-01,   4.46267854377120e+01,   2.41842995714976e-04,    4.46270272807077e+01
         27,   5.40000000000000e-01,   4.47800781879058e+01,   1.02588456744582e-04,    4.47801807763626e+01
         28,   5.60000000000000e-01,   4.50395581208241e+01,   2.42873010490822e-04,    4.50398009938346e+01
         29,   5.80000000000000e-01,   4.54090227873277e+01,   1.00647440489394e-04,    4.54091234347682e+01
         30,   6.00000000000000e-01,   4.59058420516840e+01,   2.38011659784590e-04,    4.59060800633438e+01
