Step,Time,CellVoltage
0,0,3.892392107529
1,0.1,3.891920599232
2,0.2,3.891658673744
3,0.3,3.891402949309
4,0.4,3.891153168006
5,0.5,3.890908965361
6,0.6,3.890670151783
7,0.7,3.890436474441
8,0.8,3.890209809315
9,0.9,3.889987939274
10,1,3.889770579533
11,1.1,3.889557556259
12,1.2,3.889348727672
13,1.3,3.889143939649
14,1.4,3.888943060661
15,1.5,3.888745952319
16,1.6,3.888552492834
17,1.7,3.888362556859
18,1.8,3.888176031707
19,1.9,3.887992803164
20,2,3.887812766964
21,2.1,3.887635818583
22,2.2,3.887461861506
23,2.3,3.887290799757
24,2.4,3.887122543944
25,2.5,3.886957005708
26,2.6,3.886794102196
27,2.7,3.886633751887
28,2.8,3.886475877935
29,2.9,3.886320404995
30,3,3.886167261741
31,3.1,3.886016378430
32,3.2,3.885867688813
33,3.3,3.885721128249
34,3.4,3.885576635160
35,3.5,3.885434149566
36,3.6,3.885293614193
37,3.7,3.885154973324
38,3.8,3.885018173655
39,3.9,3.884883163381
40,4,3.884749892857
41,4.1,3.884618313874
42,4.2,3.884488380166
43,4.3,3.884360046831
44,4.4,3.884233270723
45,4.5,3.884108009989
46,4.6,3.883984224368
47,4.7,3.883863880574
48,4.8,3.883744965923
49,4.9,3.883627344240
50,5,3.883510983277
