Step,Time,SOC,CRate
0,0,0.9999999999999999,-0.0000000000000000
1,0.1,0.9999719949281035,-1.0020613584214968
2,0.2,0.9999441554731899,-1.0023793953576945
3,0.3,0.9999163074881943,-1.0026755243280132
4,0.4,0.9998884514362545,-1.0029602153434167
5,0.5,0.9998605876273163,-1.0032340281939767
6,0.6,0.9998327163563924,-1.0034974783364048
7,0.7,0.9998048379046306,-1.0037510484975865
8,0.8,0.9997770814003589,-0.9947172590731603
9,0.9,0.9997494441575213,-0.9951642252403561
10,1,0.9997217948963987,-0.9955825755915213
11,1.1,0.9996941342207302,-0.9959860725272112
12,1.2,0.9996664625336885,-0.9963753944694378
13,1.3,0.9996387802211550,-0.9967511079454834
14,1.4,0.9996110876532152,-0.9971137837488206
15,1.5,0.9995833851844879,-0.9974639645973244
16,1.6,0.9995556731548917,-0.9978021663297961
17,1.7,0.9995279518903517,-0.9981288805408606
18,1.8,0.9995002217034683,-0.9984445750837149
19,1.9,0.9994724828941449,-0.9987496961929575
20,2,0.9994447357501834,-0.9990446690368731
21,2.1,0.9994169805478433,-0.9993298994354924
22,2.2,0.9993892175523732,-0.9996057744248995
23,2.3,0.9993614470185106,-0.9998726636879898
24,2.4,0.9993336691909580,-1.0001309200874069
25,2.5,0.9993058843048335,-1.0003808808719594
26,2.6,0.9992780925860965,-1.0006228682012619
27,2.7,0.9992502942519527,-1.0008571901384651
28,2.8,0.9992224895112404,-1.0010841411669260
29,2.9,0.9991946785647930,-1.0013040030463489
30,3,0.9991668616057885,-1.0015170452702991
31,3.1,0.9991390388200789,-1.0017235258106731
32,3.2,0.9991112103865044,-1.0019236915641005
33,3.3,0.9990833764771914,-1.0021177789681344
34,3.4,0.9990555372578387,-1.0023060144335618
35,3.5,0.9990276928879871,-1.0024886148750110
36,3.6,0.9989998435212792,-1.0026657881053391
37,3.7,0.9989719893057036,-1.0028377333184848
38,3.8,0.9989441303838326,-1.0030046414148599
39,3.9,0.9989162668930425,-1.0031666954682721
40,4,0.9988883989657302,-1.0033240710048890
41,4.1,0.9988605267295162,-1.0034769364112899
42,4.2,0.9988326503074382,-1.0036254532060469
43,4.3,0.9988047698181383,-1.0037697763865991
44,4.4,0.9987768853760397,-1.0039100546955411
45,4.5,0.9987489970915174,-1.0040464309194663
46,4.6,0.9987211050710583,-1.0041790421309442
47,4.7,0.9986933371671696,-0.9951100378505829
48,4.8,0.9986656917852845,-0.9953574579023454
49,4.9,0.9986380398786473,-0.9955798199673395
50,5,0.9986103818746312,-0.9957964691815424
