Step,Time,SOC,CRate
0,0,0.9999999999999986,0.0000000000000000
2,2,0.9944444129567747,-9.9999999993121591
4,4,0.9888888574015987,-9.9999999993116777
5,5,0.9861110796240128,-9.9999999993110382
6,6,0.9833333018464260,-9.9999999993110436
8,8,0.9777777462912544,-9.9999999993054480
10,10,0.9722221907360868,-9.9999999993043502
12,12,0.9666666351809127,-9.9999999993106350
14,14,0.9611110796257389,-9.9999999993111874
15,15,0.9583333018481522,-9.9999999993098978
16,16,0.9555555240705659,-9.9999999993126441
18,18,0.9499999685153935,-9.9999999993131699
20,20,0.9444444129602195,-9.9999999993117008
