"displacement:0","displacement:1","displacement:2","nodal_GL_strains_xyz:0","nodal_GL_strains_xyz:1","nodal_GL_strains_xyz:2","nodal_GL_strains_xyz:3","nodal_GL_strains_xyz:4","nodal_GL_strains_xyz:5","nodal_cauchy_stresses_xyz:0","nodal_cauchy_stresses_xyz:1","nodal_cauchy_stresses_xyz:2","nodal_cauchy_stresses_xyz:3","nodal_cauchy_stresses_xyz:4","nodal_cauchy_stresses_xyz:5","Points:0","Points:1","Points:2"
0.5,0.8,0,1.5,-4.282e-15,-0.375,4.4446e-15,0,0,375,75,0,7.0852e-13,0,0,0.5,0.5,0,1.0e-9
0.45,0.8,0,1.5,-5.3447e-15,-0.375,1.2009e-15,0,0,375,75,0,1.8954e-13,0,0,0.45,0.5,0,1.0e-9
0.45,0.8,0,1.5,1.3555e-15,-0.375,-1.3416e-15,0,0,375,75,0,-7.3944e-14,0,0,0.45,0.45,0,1.0e-9
0.5,0.8,0,1.5,-2.935e-16,-0.375,-5.1971e-15,0,0,375,75,0,-6.8951e-13,0,0,0.5,0.45,0,1.0e-9
0.4,0.8,0,1.5,2.9856e-15,-0.375,8.6081e-16,0,0,375,75,0,1.4034e-13,0,0,0.4,0.5,0,1.0e-9
0.4,0.8,0,1.5,-1.0092e-15,-0.375,1.6843e-15,0,0,375,75,0,1.3787e-13,0,0,0.4,0.45,0,1.0e-9
0.35,0.8,0,1.5,-8.4087e-15,-0.375,-1.2499e-15,0,0,375,75,0,-1.9607e-13,0,0,0.35,0.5,0,1.0e-9
0.35,0.8,0,1.5,2.4374e-15,-0.375,-9.1547e-16,0,0,375,75,0,-3.4714e-13,0,0,0.35,0.45,0,1.0e-9
0.3,0.8,0,1.5,-1.1762e-14,-0.375,-1.2916e-15,0,0,375,75,0,-2.0797e-13,0,0,0.3,0.5,0,1.0e-9
0.3,0.8,0,1.5,5.9881e-16,-0.375,3.003e-15,0,0,375,75,0,5.5083e-13,0,0,0.3,0.45,0,1.0e-9
0.25,0.8,0,1.5,-1.7941e-15,-0.375,1.1374e-15,0,0,375,75,0,1.8199e-13,0,0,0.25,0.5,0,1.0e-9
0.25,0.8,0,1.5,3.4328e-16,-0.375,-1.9411e-15,0,0,375,75,0,-3.1253e-13,0,0,0.25,0.45,0,1.0e-9
0.2,0.8,0,1.5,1.6762e-15,-0.375,1.0427e-15,0,0,375,75,0,1.6552e-13,0,0,0.2,0.5,0,1.0e-9
0.2,0.8,0,1.5,-6.429e-16,-0.375,3.8048e-17,0,0,375,75,0,7.5139e-14,0,0,0.2,0.45,0,1.0e-9
0.15,0.8,0,1.5,-7.5365e-15,-0.375,-1.0011e-15,0,0,375,75,0,-1.8635e-13,0,0,0.15,0.5,0,1.0e-9
0.15,0.8,0,1.5,1.9097e-15,-0.375,-9.1254e-16,0,0,375,75,0,-5.7689e-14,0,0,0.15,0.45,0,1.0e-9
0.1,0.8,0,1.5,5.4821e-16,-0.375,3.3274e-16,0,0,375,75,0,5.8593e-14,0,0,0.1,0.5,0,1.0e-9
0.1,0.8,0,1.5,-7.7225e-16,-0.375,4.8632e-16,0,0,375,75,0,1.3461e-13,0,0,0.1,0.45,0,1.0e-9
0.05,0.8,0,1.5,9.4874e-16,-0.375,5.1215e-16,0,0,375,75,0,8.0637e-14,0,0,0.05,0.5,0,1.0e-9
0.05,0.8,0,1.5,-6.4099e-15,-0.375,-3.5101e-16,0,0,375,75,0,1.5504e-14,0,0,0.05,0.45,0,1.0e-9
0,0.8,0,1.5,-7.4672e-15,-0.375,-6.2257e-16,0,0,375,75,0,-9.6999e-14,0,0,0,0.5,0,1.0e-9
2.0817e-17,0.8,0,1.5,6.4635e-16,-0.375,4.9171e-16,0,0,375,75,0,-6.2696e-14,0,0,2.0817e-17,0.45,0,1.0e-9
-0.05,0.8,0,1.5,-1.5049e-15,-0.375,8.2213e-16,0,0,375,75,0,1.3154e-13,0,0,-0.05,0.5,0,1.0e-9
-0.05,0.8,0,1.5,6.2959e-15,-0.375,-8.299e-16,0,0,375,75,0,-1.4384e-13,0,0,-0.05,0.45,0,1.0e-9
-0.1,0.8,0,1.5,6.4144e-16,-0.375,-8.7866e-17,0,0,375,75,0,-1.5365e-14,0,0,-0.1,0.5,0,1.0e-9
-0.1,0.8,0,1.5,-2.0113e-15,-0.375,-9.6249e-16,0,0,375,75,0,-8.168e-14,0,0,-0.1,0.45,0,1.0e-9
-0.15,0.8,0,1.5,-5.6114e-15,-0.375,1.356e-15,0,0,375,75,0,2.1827e-13,0,0,-0.15,0.5,0,1.0e-9
-0.15,0.8,0,1.5,-1.811e-15,-0.375,1.0214e-15,0,0,375,75,0,9.3718e-14,0,0,-0.15,0.45,0,1.0e-9
-0.2,0.8,0,1.5,-1.694e-15,-0.375,-1.8295e-15,0,0,375,75,0,-2.9142e-13,0,0,-0.2,0.5,0,1.0e-9
-0.2,0.8,0,1.5,-1.3853e-15,-0.375,3.089e-16,0,0,375,75,0,-2.2895e-14,0,0,-0.2,0.45,0,1.0e-9
-0.25,0.8,0,1.5,-1.3689e-15,-0.375,1.2068e-15,0,0,375,75,0,1.9309e-13,0,0,-0.25,0.5,0,1.0e-9
