# timestep time total_energy kinetic_energy internal_energy external_energy max_particle_penetration
        10 1.0000000000000002e-02 1.4597584571390326e-02 1.7702898010101221e-03 1.2827294770380204e-02 0.0000000000000000e+00 1.3646150726437378e-04
        20 2.0000000000000011e-02 1.9235953812893744e-01 7.4581287227301979e-02 1.1777825090163546e-01 0.0000000000000000e+00 3.9555134989502361e-04
        30 3.0000000000000020e-02 7.1271648809241439e-01 4.3606778867579166e-01 2.7664869941662279e-01 0.0000000000000000e+00 7.0015669585631046e-04
        40 4.0000000000000029e-02 1.5104105785290951e+00 1.0485441430216780e+00 4.6186643550741702e-01 0.0000000000000000e+00 1.1318230357695303e-03
        50 5.0000000000000037e-02 2.4581237416006929e+00 1.7476937985378422e+00 7.1042994306285057e-01 0.0000000000000000e+00 1.4563290934345996e-03
        60 6.0000000000000046e-02 3.7813942288673408e+00 2.9073318940298076e+00 8.7406233483753315e-01 0.0000000000000000e+00 1.5668703834623571e-03
        70 7.0000000000000048e-02 5.5787084554974422e+00 4.6981529033470135e+00 8.8055555215042880e-01 0.0000000000000000e+00 1.5668703834623571e-03
        80 8.0000000000000057e-02 7.6799079205950953e+00 6.9785100330117711e+00 7.0139788758332422e-01 0.0000000000000000e+00 1.5668703834623571e-03
        90 9.0000000000000066e-02 9.6474121210738026e+00 9.2460697786017754e+00 4.0134234247202749e-01 0.0000000000000000e+00 1.5668703834623571e-03
       100 1.0000000000000007e-01 1.1039533955104234e+01 1.0881462914422510e+01 1.5807104068172376e-01 0.0000000000000000e+00 1.5668703834623571e-03
       110 1.1000000000000008e-01 1.1755216458005091e+01 1.1716121933530605e+01 3.9094524474484929e-02 0.0000000000000000e+00 1.5668703834623571e-03
       120 1.2000000000000009e-01 1.2113143714850430e+01 1.2105468979491688e+01 7.6747353587429531e-03 0.0000000000000000e+00 1.5668703834623571e-03
       130 1.3000000000000009e-01 1.2659439806031301e+01 1.2621195466494569e+01 3.8244339536732008e-02 0.0000000000000000e+00 1.5668703834623571e-03
       140 1.4000000000000010e-01 1.4423495834632488e+01 1.4272704492270904e+01 1.5079134236158453e-01 0.0000000000000000e+00 1.5668703834623571e-03
       150 1.5000000000000011e-01 1.6637876461035589e+01 1.6516376920283271e+01 1.2149954075231653e-01 0.0000000000000000e+00 1.5668703834623571e-03
       160 1.6000000000000011e-01 1.8139022078251344e+01 1.8041987076672761e+01 9.7035001578582275e-02 0.0000000000000000e+00 1.5668703834623571e-03
       170 1.7000000000000012e-01 1.9095076718698866e+01 1.8914099486144107e+01 1.8097723255475898e-01 0.0000000000000000e+00 1.5668703834623571e-03
