# timestep time number r_min r_max volume
        10 1.0000000000e-02 4 1.2007578260e-01 1.2007578260e-01 2.9007805731e-02
        20 2.0000000000e-02 4 1.2030293898e-01 1.2030293898e-01 2.9172746103e-02
        30 3.0000000000e-02 4 1.2068089532e-01 1.2068089532e-01 2.9448567319e-02
        40 4.0000000000e-02 4 1.2120869686e-01 1.2120869686e-01 2.9836642235e-02
        50 5.0000000000e-02 4 1.2188501033e-01 1.2188501033e-01 3.0338876638e-02
        60 6.0000000000e-02 4 1.2270812732e-01 1.2270812732e-01 3.0957692735e-02
        70 7.0000000000e-02 4 1.2367596854e-01 1.2367596854e-01 3.1696007505e-02
        80 8.0000000000e-02 4 1.2478608916e-01 1.2478608916e-01 3.2557205634e-02
        90 9.0000000000e-02 4 1.2603568491e-01 1.2603568491e-01 3.3545106728e-02
       100 1.0000000000e-01 4 1.2742159920e-01 1.2742159920e-01 3.4663926465e-02
       110 1.1000000000e-01 4 1.2894033109e-01 1.2894033109e-01 3.5918231381e-02
       120 1.2000000000e-01 4 1.3058804414e-01 1.3058804414e-01 3.7312886985e-02
       130 1.3000000000e-01 4 1.3236057608e-01 1.3236057608e-01 3.8852998983e-02
       140 1.4000000000e-01 4 1.3425344934e-01 1.3425344934e-01 4.0543847421e-02
       150 1.5000000000e-01 4 1.3626188235e-01 1.3626188235e-01 4.2390813690e-02
       160 1.6000000000e-01 4 1.3838080165e-01 1.3838080165e-01 4.4399300418e-02
       170 1.7000000000e-01 4 1.4060485465e-01 1.4060485465e-01 4.6574644434e-02
       180 1.8000000000e-01 4 1.4292842321e-01 1.4292842321e-01 4.8922023109e-02
       190 1.9000000000e-01 4 1.4534563779e-01 1.4534563779e-01 5.1446354570e-02
       200 2.0000000000e-01 4 1.4785039230e-01 1.4785039230e-01 5.4152192416e-02
       210 2.1000000000e-01 4 1.5043635951e-01 1.5043635951e-01 5.7043615787e-02
       220 2.2000000000e-01 4 1.5309700703e-01 1.5309700703e-01 6.0124115759e-02
       230 2.3000000000e-01 4 1.5582561386e-01 1.5582561386e-01 6.3396479260e-02
