"displacement:0","displacement:1","displacement:2","nodal_GL_strains_xyz:0","nodal_GL_strains_xyz:1","nodal_GL_strains_xyz:2","nodal_GL_strains_xyz:3","nodal_GL_strains_xyz:4","nodal_GL_strains_xyz:5","nodal_cauchy_coupling_stresses_xyz:0","nodal_cauchy_coupling_stresses_xyz:1","nodal_cauchy_coupling_stresses_xyz:2","nodal_cauchy_coupling_stresses_xyz:3","nodal_cauchy_coupling_stresses_xyz:4","nodal_cauchy_coupling_stresses_xyz:5","nodal_cauchy_stresses_xyz:0","nodal_cauchy_stresses_xyz:1","nodal_cauchy_stresses_xyz:2","nodal_cauchy_stresses_xyz:3","nodal_cauchy_stresses_xyz:4","nodal_cauchy_stresses_xyz:5","Points:0","Points:1","Points:2",1.0e-12
0,0,0,-0.00022689,3.9674e-16,-7.3837e-17,2.8758e-16,-1.3334e-17,1.3627e-17,-1.6892,-1.6892,-1.6892,6.0584e-33,3.5925e-32,7.7715e-32,-611.09,-261.96,-261.96,4.4252e-10,-2.0519e-11,2.0962e-11,-5,-5,-1,1.0e-12
0,0,0,-0.00022689,2.7756e-17,-1.9954e-17,-2.0073e-16,-4.3803e-17,-9.6583e-18,-1.6892,-1.6892,-1.6892,-7.3341e-32,-1.1224e-33,-1.9665e-32,-611.09,-261.96,-261.96,-3.0886e-10,-6.7405e-11,-1.4878e-11,-5,-3,-1,1.0e-12
-0.00045383,0,0,-0.00022674,2.3592e-16,1.1156e-17,-7.3172e-17,6.9869e-17,-6.4826e-19,-1.3361,-1.3361,-1.3361,9.4603e-32,9.3817e-33,9.3917e-32,-610.7,-261.79,-261.79,-1.1263e-10,1.0752e-10,-1.0419e-12,-3,-5,-1,1.0e-12
-0.00045383,-1.4579e-16,4.1956e-16,-0.00022674,-1.4132e-16,1.0613e-16,-1.6344e-16,8.0245e-18,-1.5114e-18,-1.3361,-1.3361,-1.3361,-6.4368e-32,-4.3585e-32,7.1545e-32,-610.7,-261.79,-261.79,-2.5154e-10,1.2348e-11,-2.3416e-12,-3,-3,-1,1.0e-12
0,0,0,-0.00022689,2.4781e-16,1.7941e-16,6.6779e-17,-2.375e-16,6.7099e-17,-1.6892,-1.6892,-1.6892,-2.1346e-32,-6.283e-32,-2.3137e-32,-611.09,-261.96,-261.96,1.0275e-10,-3.6547e-10,1.032e-10,-5,-5,-3,1.0e-12
0,0,0,-0.00022689,-1.8051e-16,3.6554e-17,-1.2812e-16,1.0617e-16,-2.6819e-16,-1.6892,-1.6892,-1.6892,3.0527e-32,9.2955e-33,5.4128e-32,-611.09,-261.96,-261.96,-1.9711e-10,1.6337e-10,-4.1268e-10,-5,-3,-3,1.0e-12
-0.00045383,0,0,-0.00022674,-7.5458e-16,9.5783e-17,3.1328e-16,-2.4848e-16,2.8137e-16,-1.3361,-1.3361,-1.3361,6.04e-32,-1.0773e-31,4.5775e-32,-610.7,-261.79,-261.79,4.8197e-10,-3.8237e-10,4.3297e-10,-3,-5,-3,1.0e-12
-0.00045383,-5.5285e-16,-6.7469e-16,-0.00022674,-1.7107e-16,8.7848e-17,-9.1066e-17,-9.5472e-17,1.9805e-16,-1.3361,-1.3361,-1.3361,-2.5757e-32,-7.0281e-33,1.5329e-32,-610.7,-261.79,-261.79,-1.4017e-10,-1.4691e-10,3.0477e-10,-3,-3,-3,1.0e-12
0,0,0,-0.00022689,-1.1835e-15,6.2151e-16,4.0554e-16,-1.0272e-16,-3.6359e-16,-1.6892,-1.6892,-1.6892,5.4307e-32,2.6604e-31,-1.6023e-32,-611.09,-261.96,-261.96,6.2391e-10,-1.5807e-10,-5.5931e-10,-5,-5,-5,1.0e-12
0,0,0,-0.00022689,3.8804e-16,-1.1846e-16,-2.9592e-16,-3.5386e-16,2.5405e-16,-1.6892,-1.6892,-1.6892,-2.2953e-32,-1.1301e-31,1.0714e-31,-611.09,-261.96,-261.96,-4.5529e-10,-5.4453e-10,3.9088e-10,-5,-3,-5,1.0e-12
-0.00045383,0,0,-0.00022674,1.2688e-15,-2.5452e-16,4.5409e-16,4.7087e-16,-1.9538e-16,-1.3361,-1.3361,-1.3361,-2.0354e-31,6.2511e-32,5.0879e-33,-610.7,-261.79,-261.79,6.9882e-10,7.2458e-10,-3.004e-10,-3,-5,-5,1.0e-12
-0.00045383,0,0,-0.00022674,1.8513e-16,-1.9837e-16,-2.6407e-17,2.0378e-16,5.5532e-17,-1.3361,-1.3361,-1.3361,5.1747e-32,-7.0699e-32,6.2732e-34,-610.7,-261.79,-261.79,-4.058e-11,3.1358e-10,8.546e-11,-3,-3,-5,1.0e-12
0,0,0,-0.00022689,-1.503e-16,5.7869e-17,8.0415e-17,2.4708e-17,5.7535e-17,-1.6892,-1.6892,-1.6892,6.3439e-32,1.8895e-31,5.5826e-32,-611.09,-261.96,-261.96,1.237e-10,3.8021e-11,8.8533e-11,-5,-1,-1,1.0e-12
-0.00045383,1.168e-16,-5.4414e-16,-0.00022674,-5.2291e-17,-1.7787e-16,4.5383e-17,-3.6321e-17,1.7107e-16,-1.3361,-1.3361,-1.3361,-2.1822e-32,-3.1096e-32,-9.9964e-32,-610.7,-261.79,-261.79,6.9804e-11,-5.5891e-11,2.6326e-10,-3,-1,-1,1.0e-12
0,0,0,-0.00022689,7.8187e-17,-1.7805e-16,-3.1161e-16,-5.0295e-17,-6.6861e-17,-1.6892,-1.6892,-1.6892,-5.0855e-32,1.371e-32,1.5398e-31,-611.09,-261.96,-261.96,-4.7949e-10,-7.7395e-11,-1.0283e-10,-5,-1,-3,1.0e-12
-0.00045383,-5.1443e-16,-2.5759e-16,-0.00022674,7.1431e-17,-2.0903e-16,-4.3074e-17,1.9313e-16,5.4088e-17,-1.3361,-1.3361,-1.3361,1.2723e-31,-1.2313e-32,2.2752e-32,-610.7,-261.79,-261.79,-6.6302e-11,2.9718e-10,8.319e-11,-3,-1,-3,1.0e-12
0,0,0,-0.00022689,-1.1394e-15,-4.9017e-16,1.0287e-16,-9.8692e-17,4.3531e-17,-1.6892,-1.6892,-1.6892,4.3098e-32,2.4988e-32,-3.7207e-32,-611.09,-261.96,-261.96,1.5828e-10,-1.5187e-10,6.6955e-11,-5,-1,-5,1.0e-12
-0.00045383,0,0,-0.00022674,2.2576e-16,-1.9465e-16,-7.7713e-17,-2.4967e-16,-6.9365e-17,-1.3361,-1.3361,-1.3361,2.5259e-32,1.4204e-32,-1.8999e-32,-610.7,-261.79,-261.79,-1.1958e-10,-3.8419e-10,-1.0672e-10,-3,-1,-5,1.0e-12
0,0,0,-0.00022689,-2.3765e-16,-7.4469e-17,3.5677e-17,1.0148e-17,-8.8183e-17,-1.6892,-1.6892,-1.6892,2.602e-32,-5.0443e-32,-1.4271e-31,-611.09,-261.96,-261.96,5.4938e-11,1.5616e-11,-1.3568e-10,-5,1,-1,1.0e-12
-0.00045383,9.593e-17,-1.1661e-16,-0.00022674,8.7666e-17,3.1474e-17,-2.4873e-16,9.7242e-17,-2.2241e-17,-1.3361,-1.3361,-1.3361,-5.4092e-33,-1.983e-32,1.2649e-31,-610.7,-261.79,-261.79,-3.8278e-10,1.4964e-10,-3.4216e-11,-3,1,-1,1.0e-12
0,0,0,-0.00022689,8.227e-17,3.3832e-17,1.4715e-17,-2.9559e-17,1.9393e-16,-1.6892,-1.6892,-1.6892,5.8687e-32,7.6286e-32,6.0856e-32,-611.09,-261.96,-261.96,2.2631e-11,-4.5486e-11,2.9834e-10,-5,1,-3,1.0e-12
-0.00045383,5.6896e-17,-1.8544e-16,-0.00022674,2.0549e-16,-1.2032e-16,1.3863e-16,1.1961e-16,1.3017e-16,-1.3361,-1.3361,-1.3361,-1.2662e-33,-8.2054e-32,-6.6897e-32,-610.7,-261.79,-261.79,2.1335e-10,1.8406e-10,2.0024e-10,-3,1,-3,1.0e-12
0,0,0,-0.00022689,-2.3838e-16,6.899e-16,-7.5997e-18,-6.9521e-17,-3.9043e-16,-1.6892,-1.6892,-1.6892,-1.204e-31,-9.4606e-32,6.9924e-32,-611.09,-261.96,-261.96,-1.1622e-11,-1.0698e-10,-6.0063e-10,-5,1,-5,1.0e-12
-0.00045383,0,0,-0.00022674,-9.8506e-17,-6.0491e-16,9.667e-17,1.2283e-16,-4.9077e-16,-1.3361,-1.3361,-1.3361,1.8003e-32,1.0278e-31,-3.6954e-32,-610.7,-261.79,-261.79,1.4881e-10,1.8902e-10,-7.5504e-10,-3,1,-5,1.0e-12
0,0,0,-0.00022689,4.1743e-16,-1.9094e-16,1.1415e-16,2.0425e-17,-9.0798e-17,-1.6892,-1.6892,-1.6892,-1.4568e-31,3.8727e-32,4.5226e-32,-611.09,-261.96,-261.96,1.7568e-10,3.143e-11,-1.3974e-10,-5,3,-1,1.0e-12
-0.00045383,-4.6284e-17,-2.0034e-16,-0.00022674,-2.5398e-18,1.9025e-16,-3.2191e-17,6.0988e-17,2.2289e-17,-1.3361,-1.3361,-1.3361,5.8188e-32,-9.6333e-33,3.3074e-32,-610.7,-261.79,-261.79,-4.9445e-11,9.3849e-11,3.4295e-11,-3,3,-1,1.0e-12
