phi_1,phi_2,phi_3,phi_4,pressure_1,pressure_2,pressure_3,pressure_4,saturation_1,saturation_2,saturation_3,saturation_4,solid_pressure,Points:0,Points:1,Points:2,
0.1,0,0,0,0,0,0,0,0.1,0.2,0.3,0.4,0,2.5,0.5,0,1.00E-014
0.098727,-0.1,0.3,0.1,0.1,0.2,0.3,0.1,0.098727,0.19968,0.29873,0.40286,0.17971,2.4,0.5,0,1.00E-014
0.098727,-0.1,0.3,0.1,0.1,0.2,0.3,0.1,0.098727,0.19968,0.29873,0.40286,0.17971,2.4,0.4,0,1.00E-014
0.1,0,0,0,0,0,0,0,0.1,0.2,0.3,0.4,0,2.5,0.4,0,1.00E-014
0.097454,-0.2,0.6,0.2,0.2,0.4,0.6,0.2,0.097454,0.19936,0.29745,0.40573,0.35885,2.3,0.5,0,1.00E-014
0.097454,-0.2,0.6,0.2,0.2,0.4,0.6,0.2,0.097454,0.19936,0.29745,0.40573,0.35885,2.3,0.4,0,1.00E-014
0.09618,-0.3,0.9,0.3,0.3,0.6,0.9,0.3,0.09618,0.19905,0.29618,0.40859,0.53742,2.2,0.5,0,1.00E-014
0.09618,-0.3,0.9,0.3,0.3,0.6,0.9,0.3,0.09618,0.19905,0.29618,0.40859,0.53742,2.2,0.4,0,1.00E-014
0.094907,-0.4,1.2,0.4,0.40001,0.8,1.2,0.4,0.094907,0.19873,0.29491,0.41146,0.71542,2.1,0.5,0,1.00E-014
0.094907,-0.4,1.2,0.4,0.40001,0.8,1.2,0.4,0.094907,0.19873,0.29491,0.41146,0.71542,2.1,0.4,0,1.00E-014
0.093634,-0.5,1.5,0.5,0.50001,1,1.5,0.5,0.093634,0.19841,0.29363,0.41432,0.89284,2,0.5,0,1.00E-014
0.093634,-0.5,1.5,0.5,0.50001,1,1.5,0.5,0.093634,0.19841,0.29363,0.41432,0.89284,2,0.4,0,1.00E-014
0.092361,-0.6,1.8,0.6,0.60002,1.2,1.8,0.6,0.092361,0.19809,0.29236,0.41719,1.0697,1.9,0.5,0,1.00E-014
0.092361,-0.6,1.8,0.6,0.60002,1.2,1.8,0.6,0.092361,0.19809,0.29236,0.41719,1.0697,1.9,0.4,0,1.00E-014
0.091088,-0.7,2.1,0.7,0.70002,1.4,2.1,0.7,0.091088,0.19777,0.29109,0.42005,1.246,1.8,0.5,0,1.00E-014
0.091088,-0.7,2.1,0.7,0.70002,1.4,2.1,0.7,0.091088,0.19777,0.29109,0.42005,1.246,1.8,0.4,0,1.00E-014
0.089815,-0.8,2.4,0.8,0.80003,1.6,2.4,0.8,0.089815,0.19745,0.28981,0.42292,1.4217,1.7,0.5,0,1.00E-014
0.089815,-0.8,2.4,0.8,0.80003,1.6,2.4,0.8,0.089815,0.19745,0.28981,0.42292,1.4217,1.7,0.4,0,1.00E-014
