Time,Step,Function 22,Function 23,Function 24,Function 25,Function 26,Function 27,Function 28,Function 29
0,0,2.05485212e-07,4.2e-08,0,2.5e-06,2.05485212e-07,1e-05,-4.10970423e-08,-1.01237098e-09
1,1800,2.12465402e-07,7.57465563e-09,5.31129143e-10,4.30462271e-06,2.11934272e-07,1e-05,-4.22266211e-08,-1.05326812e-09
2,3600,2.12470343e-07,3.60495854e-09,1.45222224e-09,5.6547572e-06,2.11018121e-07,1e-05,-4.2198224e-08,-1.05545528e-09
3,5400,2.12467118e-07,3.47724411e-09,2.39051675e-09,6.81784771e-06,2.10076601e-07,1e-05,-4.22118809e-08,-1.05621157e-09
4,7200,2.1246452e-07,3.86573908e-09,3.29901936e-09,7.85398296e-06,2.09165501e-07,1e-05,-4.22296665e-08,-1.05656489e-09
5,9000,2.12462417e-07,4.24126349e-09,4.17725717e-09,8.8003944e-06,2.0828516e-07,1e-05,-4.22457555e-08,-1.05678403e-09
6,10800,2.12460747e-07,4.62848268e-09,5.02471103e-09,9.67937046e-06,2.07436036e-07,1e-05,-4.22612044e-08,-1.05695131e-09
7,12600,2.124594e-07,4.94939146e-09,5.84600562e-09,1.05056144e-05,2.06613394e-07,1e-05,-4.2275302e-08,-1.05709405e-09
8,14400,2.12458279e-07,5.27635741e-09,6.64112096e-09,1.12889653e-05,2.05817158e-07,1e-05,-4.22890908e-08,-1.05722207e-09
9,16200,2.124573e-07,5.55354033e-09,7.41354331e-09,1.2036753e-05,2.05043757e-07,1e-05,-4.23018204e-08,-1.05733948e-09
10,18000,2.12456426e-07,5.83642652e-09,8.16320013e-09,1.27542285e-05,2.04293226e-07,1e-05,-4.23143734e-08,-1.05744888e-09
11,19800,2.12455636e-07,6.08208826e-09,8.89270638e-09,1.34456349e-05,2.0356293e-07,1e-05,-4.23260828e-08,-1.05755248e-09
12,21600,2.12454942e-07,6.33186744e-09,9.60203845e-09,1.41141389e-05,2.02852903e-07,1e-05,-4.23376781e-08,-1.05765238e-09
13,23400,2.12454351e-07,6.55345198e-09,1.02931896e-08,1.47624487e-05,2.02161162e-07,1e-05,-4.2348601e-08,-1.05775033e-09
14,25200,2.12453877e-07,6.76077349e-09,1.09672962e-08,1.5392701e-05,2.01486581e-07,1e-05,-4.23591465e-08,-1.05784757e-09
15,27000,2.12453525e-07,6.97739916e-09,1.16239128e-08,1.60066071e-05,2.00829612e-07,1e-05,-4.23697306e-08,-1.05794464e-09
16,28800,2.12453282e-07,7.1706428e-09,1.22646881e-08,1.66057588e-05,2.00188594e-07,1e-05,-4.23797234e-08,-1.05804141e-09
17,30600,2.12453133e-07,7.35299078e-09,1.28875531e-08,1.71914262e-05,1.9956558e-07,1e-05,-4.23894269e-08,-1.05813722e-09
