step,time,Integral of manifold 1,Integral of manifold 2,Mean flux of scalar 1 into manifold 1,Mean flux of scalar 1 into manifold 2,Mean flux of scalar 2 into manifold 1,Mean flux of scalar 2 into manifold 2,Total flux of scalar 1 into manifold 1,Total flux of scalar 1 into manifold 2,Total flux of scalar 2 into manifold 1,Total flux of scalar 2 into manifold 2
1,1,1.4198976889122022e-06,1.4179021718333808e-06,3.1666945115534541e-17,0.0000000000000000e+00,3.1666945115534541e-17,0.0000000000000000e+00,4.4963822184457042e-23,0.0000000000000000e+00,4.4963822184457042e-23,0.0000000000000000e+00
2,1.75,1.4198976889122022e-06,1.4179021718333808e-06,4.0404601954982717e-21,0.0000000000000000e+00,4.0404601954982717e-21,0.0000000000000000e+00,5.7370400937297411e-27,0.0000000000000000e+00,5.7370400937297411e-27,0.0000000000000000e+00
3,2.5,1.4198976889122022e-06,1.4179021718333808e-06,1.7500151901704849e-20,0.0000000000000000e+00,1.7500151901704849e-20,0.0000000000000000e+00,2.4848425240843196e-26,0.0000000000000000e+00,2.4848425240843196e-26,0.0000000000000000e+00
4,3.5,1.4161164335236206e-06,1.4141187021775483e-06,2.2151110326990447e-13,2.3677697925975631e-12,2.2151110326990447e-13,2.3677697925975631e-12,3.1368551354845952e-19,3.3483075461632684e-18,3.1368551354845952e-19,3.3483075461632684e-18
5,4.5,1.4123384272026441e-06,1.4103388068733581e-06,2.0206053436731564e-13,2.3346643853041673e-12,2.0206053436731564e-13,2.3346643853041673e-12,2.8537785730806039e-19,3.2926677836196010e-18,2.8537785730806039e-19,3.2926677836196010e-18
6,5.5,1.4085641748973401e-06,1.4065619661332750e-06,2.0513226798910337e-13,2.3555558572403839e-12,2.0513226798910337e-13,2.3555558572403839e-12,2.8894196380489145e-19,3.3132352778967867e-18,2.8894196380489145e-19,3.3132352778967867e-18
7,6.5,1.4047928919168814e-06,1.4027891182942705e-06,2.0600359259864071e-13,2.3474794839880812e-12,2.0600359259864071e-13,2.3474794839880812e-12,2.8939238259191154e-19,3.2930186755575297e-18,2.8939238259191154e-19,3.2930186755575297e-18
8,7.5,1.4010257473478810e-06,1.3990189939774989e-06,2.0774233707301180e-13,2.3523912724706644e-12,2.0774233707301180e-13,2.3523912724706644e-12,2.9105236305351176e-19,3.2910400714533577e-18,2.9105236305351176e-19,3.2910400714533577e-18
9,8.5,1.3972612778222075e-06,1.3952532993657350e-06,2.0905447464253735e-13,2.3514079274157066e-12,2.0905447464253735e-13,2.3514079274157066e-12,2.9210372237348199e-19,3.2808096688815095e-18,2.9210372237348199e-19,3.2808096688815095e-18
10,9.5,1.3935013488044612e-06,1.3914899810008078e-06,2.1034945530050273e-13,2.3511876218741148e-12,2.1034945530050273e-13,2.3511876218741148e-12,2.9312224968153427e-19,3.2716540192909465e-18,2.9312224968153427e-19,3.2716540192909465e-18
11,10.5,1.3897437840600898e-06,1.3877315476097770e-06,2.1155180283014378e-13,2.3518689534892457e-12,2.1155180283014378e-13,2.3518689534892457e-12,2.9400280298989806e-19,3.2637627426010174e-18,2.9400280298989806e-19,3.2637627426010174e-18
12,11.5,1.3859911793470858e-06,1.3839751249289171e-06,2.1266631786034131e-13,2.3503577286070794e-12,2.1266631786034131e-13,2.3503577286070794e-12,2.9475364069865665e-19,3.2528366310766285e-18,2.9475364069865665e-19,3.2528366310766285e-18
