step,time,Integral of domain 0,Integral of domain 1,Integral of domain 2,Integral of entire domain,Mean value of scalar 1 in domain 0,Mean value of scalar 1 in domain 1,Mean value of scalar 1 in domain 2,Mean value of scalar 1 in entire domain,Mean value of scalar 2 in domain 0,Mean value of scalar 2 in domain 1,Mean value of scalar 2 in domain 2,Mean value of scalar 2 in entire domain,Total value of scalar 1 in domain 0,Total value of scalar 1 in domain 1,Total value of scalar 1 in domain 2,Total value of scalar 1 in entire domain,Total value of scalar 2 in domain 0,Total value of scalar 2 in domain 1,Total value of scalar 2 in domain 2,Total value of scalar 2 in entire domain
0,0,4.9825285939869132e-10,1.3057327711498141e-09,4.9675448850490073e-10,2.3007401190534057e-09,1.0880000000000004e+01,1.2000000000000002e+00,1.0560000000000008e+01,5.3172445392409511e+00,0.0000000000000000e+00,-8.0830788307856977e-02,3.8923921075285608e+00,7.9453556100743949e-01,5.4209911102577641e-09,1.5668793253797771e-09,5.2457273986117554e-09,1.2233597834249297e-08,0.0000000000000000e+00,-1.0554340921144209e-10,1.9335632504358629e-09,1.8280198412244208e-09
1,1,4.9825285939869132e-10,1.3057327711498141e-09,4.9675448850490073e-10,2.3007401190534057e-09,1.0880000079564184e+01,1.2000000000000002e+00,1.0559947093507024e+01,5.3172331333917793e+00,1.5328976350833661e-14,-8.0828003285607797e-02,3.8905156142140962e+00,7.9413198653412398e-01,5.4209911499008432e-09,1.5668793253797771e-09,5.2457011170738947e-09,1.2233571592354516e-08,7.6377062984577887e-24,-1.0553977271662294e-10,1.9326310939592531e-09,1.8270913212426379e-09
2,1.75,4.9825285939869132e-10,1.3057327711498141e-09,4.9675448850490073e-10,2.3007401190534057e-09,1.0880000164693586e+01,1.2000000000000002e+00,1.0559907253283995e+01,5.3172245498957649e+00,9.3750650574557918e-14,-8.0827998861920741e-02,3.8905262931176776e+00,7.9413429473461761e-01,5.4209911923168113e-09,1.5668793253797771e-09,5.2456813262642827e-09,1.2233551843960874e-08,4.6711529719261043e-23,-1.0553976694046978e-10,1.9326363987525394e-09,1.8270966318121165e-09
3,2.5,4.9825285939869132e-10,1.3057327711498141e-09,4.9675448850490073e-10,2.3007401190534057e-09,1.0880000210514089e+01,1.2000000000000002e+00,1.0559906888261050e+01,5.3172244810063720e+00,1.3850530567213616e-13,-8.0827996670269228e-02,3.8905255411770807e+00,7.9413413362640295e-01,5.4209912151470087e-09,1.5668793253797771e-09,5.2456811449374962e-09,1.2233551685464284e-08,6.9010664593031625e-23,-1.0553976407875858e-10,1.9326360252226729e-09,1.8270962611439835e-09
4,3.5,4.9623232967998708e-10,1.3004376722104281e-09,4.9473999013999396e-10,2.2914099920304085e-09,1.0911834579654180e+01,1.2000000000000000e+00,1.0614091963893818e+01,5.3358177267634570e+00,-7.9254101864478185e-08,-8.1613651465815215e-02,3.8828262006638834e+00,7.9202582527030807e-01,5.4148050945444361e-09,1.5605252066525135e-09,5.2512157535618168e-09,1.2226546054758766e-08,-3.9328447604905014e-17,-1.0613346693279793e-10,1.9209893962317599e-09,1.8148558899705143e-09
5,4.5,4.9421171479977037e-10,1.2951425626905476e-09,4.9272558751709395e-10,2.2820798650074121e-09,1.0931023480220894e+01,1.1999999999999997e+00,1.0682642254099877e+01,5.3547740822610441e+00,-8.0068515644756544e-08,-8.2316038686077883e-02,3.8730292541118247e+00,7.8951205760367626e-01,5.4022398586765213e-09,1.5541710752286569e-09,5.2636111808862947e-09,1.2220022114791473e-08,-3.9570798418267373e-17,-1.0661100529442116e-10,1.9083406147031410e-09,1.8017295698379217e-09
6,5.5,4.9219127182935791e-10,1.2898474745289350e-09,4.9071099162612171e-10,2.2727497379844153e-09,1.0950629185419546e+01,1.2000000000000002e+00,1.0752194659036805e+01,5.3740369978715385e+00,-7.9688285360007326e-08,-8.2962476009218411e-02,3.8637278716772845e+00,7.8713671197593005e-01,5.3898041061033317e-09,1.5478169694347222e-09,5.2762201032930402e-09,1.2213841178831093e-08,-3.9221878521242805e-17,-1.0700894016115772e-10,1.8959737352842451e-09,1.7889647559012093e-09
7,6.5,4.9017056804204853e-10,1.2845523539642426e-09,4.8869668895512656e-10,2.2634196109614177e-09,1.0970136482493952e+01,1.1999999999999997e+00,1.0821873168446977e+01,5.3933059440123410e+00,-7.9467125876722229e-08,-8.3585763637540944e-02,3.8548524050599595e+00,7.8486696402616019e-01,5.3772380311228605e-09,1.5414628247570908e-09,5.2886135857123627e-09,1.2207314441592314e-08,-3.8952446231661912e-17,-1.0737028943850202e-10,1.8838536067635086e-09,1.7764832783725606e-09
8,7.5,4.8815021620079498e-10,1.2792572771267427e-09,4.8668199061088332e-10,2.2540894839384209e-09,1.0990066061732042e+01,1.1999999999999991e+00,1.0892584195708894e+01,5.4128891079308978e+00,-7.9198889517209237e-08,-8.4190067992178749e-02,3.8462985301880219e+00,7.8267674904874041e-01,5.3648031240955161e-09,1.5351087325520900e-09,5.3012245592642519e-09,1.2201136415911856e-08,-3.8660955040688567e-17,-1.0770075714078992e-10,1.8719242251556212e-09,1.7642234293538761e-09
9,8.5,4.8612941898999082e-10,1.2739621449593693e-09,4.8466779296606363e-10,2.2447593569154237e-09,1.1009899821385321e+01,1.1999999999999995e+00,1.0963419124227627e+01,5.4324784926244938e+00,-7.8940076890932734e-08,-8.4775651361172072e-02,3.8380973061511154e+00,7.8057415648575168e-01,5.3522362033080497e-09,1.5287545739512424e-09,5.3136161503013383e-09,1.2194606927560629e-08,-3.8375093714014331e-17,-1.0800097064840644e-10,1.8602021505612554e-09,1.7522011415377554e-09
