"displacement:0","displacement:1","displacement:2","Points:0","Points:1","Points:2"
0.022345,0.022345,-0.093945,-1,-1,-1,1.0e-14
8.2365e-17,0.022345,-0.093945,0,-1,-1,1.0e-14
0.022345,1.2302e-17,-0.093945,-1,0,-1,1.0e-14
0.022345,0.022345,-1.7696e-16,-1,-1,0,1.0e-14
0.022345,-4.3648e-17,6.8222e-17,-1,-3.084e-16,-1.3574e-16,1.0e-14
-5.8517e-18,0.022345,-1.9285e-17,3.084e-16,-1,-1.3574e-16,1.0e-14
2.727e-17,2.4737e-17,-0.093945,-1.2208e-16,1.2208e-16,-1,1.0e-14
-3.8299e-18,1.4092e-17,-4.484e-18,-1.2208e-16,6.9389e-18,-1.288e-16,1.0e-14
-0.022345,0.022345,-0.093945,1,-1,-1,1.0e-14
0.022345,-0.022345,-0.093945,-1,1,-1,1.0e-14
0.022345,0.022345,0.093945,-1,-1,1,1.0e-14
-0.022345,-4.8734e-17,-0.093945,1,0,-1,1.0e-14
6.4388e-17,-0.022345,-0.093945,0,1,-1,1.0e-14
3.2171e-17,0.022345,0.093945,0,-1,1,1.0e-14
0.022345,2.094e-17,0.093945,-1,0,1,1.0e-14
-0.022345,0.022345,-9.1094e-18,1,-1,0,1.0e-14
0.022345,-0.022345,3.883e-18,-1,1,0,1.0e-14
6.0268e-17,-0.022345,1.343e-17,-3.084e-16,1,-1.3574e-16,1.0e-14
-5.3271e-17,-3.925e-17,0.093945,-1.2208e-16,-1.2208e-16,1,1.0e-14
-0.022345,-6.0466e-17,-2.6206e-17,1,3.084e-16,-1.3574e-16,1.0e-14
-0.022345,-0.022345,-0.093945,1,1,-1,1.0e-14
-0.022345,0.022345,0.093945,1,-1,1,1.0e-14
0.022345,-0.022345,0.093945,-1,1,1,1.0e-14
-0.022345,6.8821e-17,0.093945,1,0,1,1.0e-14
-1.1612e-17,-0.022345,0.093945,0,1,1,1.0e-14
-0.022345,-0.022345,-5.9763e-18,1,1,0,1.0e-14
-0.022345,-0.022345,0.093945,1,1,1,1.0e-14
