  #timestep,                   time,        internal_energy,         kinetic_energy,            total_energy
          1,   5.00000000000000e+00,   9.13200515134614e-01,   0.00000000000000e+00,    9.13200515134614e-01
          2,   1.00000000000000e+01,   3.63123834476516e+00,   0.00000000000000e+00,    3.63123834476516e+00
          3,   1.50000000000000e+01,   8.12144962207623e+00,   0.00000000000000e+00,    8.12144962207623e+00
          4,   2.00000000000000e+01,   1.43507927913300e+01,   0.00000000000000e+00,    1.43507927913300e+01
          5,   2.50000000000000e+01,   2.22859066397591e+01,   0.00000000000000e+00,    2.22859066397591e+01
          6,   3.00000000000000e+01,   3.18931677591576e+01,   0.00000000000000e+00,    3.18931677591576e+01
          7,   3.50000000000000e+01,   4.31387472505951e+01,   0.00000000000000e+00,    4.31387472505951e+01
          8,   4.00000000000000e+01,   5.59886665151568e+01,   0.00000000000000e+00,    5.59886665151568e+01
          9,   4.50000000000000e+01,   7.04088519257120e+01,   0.00000000000000e+00,    7.04088519257120e+01
         10,   5.00000000000000e+01,   8.63651882458674e+01,   0.00000000000000e+00,    8.63651882458674e+01
         11,   5.50000000000000e+01,   1.03823570619018e+02,   0.00000000000000e+00,    1.03823570619018e+02
         12,   6.00000000000000e+01,   1.22749954984727e+02,   0.00000000000000e+00,    1.22749954984727e+02
         13,   6.50000000000000e+01,   1.43110406783847e+02,   0.00000000000000e+00,    1.43110406783847e+02
         14,   7.00000000000000e+01,   1.64871147825895e+02,   0.00000000000000e+00,    1.64871147825895e+02
         15,   7.50000000000000e+01,   1.87998601205314e+02,   0.00000000000000e+00,    1.87998601205314e+02
         16,   8.00000000000000e+01,   2.12459434167875e+02,   0.00000000000000e+00,    2.12459434167875e+02
         17,   8.50000000000000e+01,   2.38220598838860e+02,   0.00000000000000e+00,    2.38220598838860e+02
         18,   9.00000000000000e+01,   2.65249370744196e+02,   0.00000000000000e+00,    2.65249370744196e+02
         19,   9.50000000000000e+01,   2.93513385066018e+02,   0.00000000000000e+00,    2.93513385066018e+02
         20,   1.00000000000000e+02,   3.22980670591145e+02,   0.00000000000000e+00,    3.22980670591145e+02
