"ale-displacement:0","ale-displacement:1","ale-displacement:2","phi_1","velocity:0","velocity:1","velocity:2","Points:0","Points:1","Points:2"
0,0,0,0.20402,0,0,0,-1,-0.5,0.5,1.0e-14
0,0,0,0.20402,0,0,0,-1,-0.5,-0.5,1.0e-14
0,0,0,0.20402,0,0,0,-1,0.5,-0.5,1.0e-14
0,0,0,0.20402,0,0,0,-1,0.5,0.5,1.0e-14
0.42368,0.16401,-0.16401,0.38082,0,0,0,0,-0.5,0.5,1.0e-14
0.42368,0.16401,0.16401,0.38082,0,0,0,0,-0.5,-0.5,1.0e-14
0.42368,-0.16401,0.16401,0.38082,0,0,0,0,0.5,-0.5,1.0e-14
0.42368,-0.16401,-0.16401,0.38082,0,0,0,0,0.5,0.5,1.0e-14
0.42368,0.16401,-0.16401,0.65986,0,0,0,0,-0.5,0.5,1.0e-14
0.42368,0.16401,0.16401,0.65986,0,0,0,0,-0.5,-0.5,1.0e-14
0.42368,-0.16401,0.16401,0.65986,0,0,0,0,0.5,-0.5,1.0e-14
0.42368,-0.16401,-0.16401,0.65986,0,0,0,0,0.5,0.5,1.0e-14
1,0,0,0.68016,0,0,0,1,-0.5,0.5,1.0e-14
1,0,0,0.68016,0,0,0,1,-0.5,-0.5,1.0e-14
1,0,0,0.68016,0,0,0,1,0.5,-0.5,1.0e-14
1,0,0,0.68016,0,0,0,1,0.5,0.5,1.0e-14
