"displacement:0","displacement:1","displacement:2","nodal_stresses_xyz:0","nodal_stresses_xyz:1","nodal_stresses_xyz:2","nodal_stresses_xyz:3","nodal_stresses_xyz:4","nodal_stresses_xyz:5","Points:0","Points:1","Points:2"
0,0,0,0.98517,0.20879,0.20879,0.17658,-0.027609,-0.17658,-1,-0.5,0.5,1.0e-14
0,0,0,0.98517,0.20879,0.20879,0.17658,0.027609,0.17658,-1,-0.5,-0.5,1.0e-14
0,0,0,0.98517,0.20879,0.20879,-0.17658,-0.027609,0.17658,-1,0.5,-0.5,1.0e-14
0,0,0,0.98517,0.20879,0.20879,-0.17658,0.027609,-0.17658,-1,0.5,0.5,1.0e-14
0.42368,0.16401,-0.16401,1.7575,-0.10922,-0.10922,-0.052149,-0.034315,0.052149,0,-0.5,0.5,1.0e-14
0.42368,0.16401,0.16401,1.7575,-0.10922,-0.10922,-0.052149,0.034315,-0.052149,0,-0.5,-0.5,1.0e-14
0.42368,-0.16401,0.16401,1.7575,-0.10922,-0.10922,0.052149,-0.034315,-0.052149,0,0.5,-0.5,1.0e-14
0.42368,-0.16401,-0.16401,1.7575,-0.10922,-0.10922,0.052149,0.034315,0.052149,0,0.5,0.5,1.0e-14
0.42368,0.16401,-0.16401,1.7575,-0.10922,-0.10922,-0.052149,-0.034315,0.052149,0,-0.5,0.5,1.0e-14
0.42368,0.16401,0.16401,1.7575,-0.10922,-0.10922,-0.052149,0.034315,-0.052149,0,-0.5,-0.5,1.0e-14
0.42368,-0.16401,0.16401,1.7575,-0.10922,-0.10922,0.052149,-0.034315,-0.052149,0,0.5,-0.5,1.0e-14
0.42368,-0.16401,-0.16401,1.7575,-0.10922,-0.10922,0.052149,0.034315,0.052149,0,0.5,0.5,1.0e-14
1,0,0,1.5334,0.27396,0.27396,-0.22263,-0.029727,0.22263,1,-0.5,0.5,1.0e-14
1,0,0,1.5334,0.27396,0.27396,-0.22263,0.029727,-0.22263,1,-0.5,-0.5,1.0e-14
1,0,0,1.5334,0.27396,0.27396,0.22263,-0.029727,-0.22263,1,0.5,-0.5,1.0e-14
1,0,0,1.5334,0.27396,0.27396,0.22263,0.029727,0.22263,1,0.5,0.5,1.0e-14
