"c_1","current:0","current:1","current:2","flux_c_1:0","flux_c_1:1","flux_c_1:2","phi","Points:0","Points:1","Points:2"
11.036,0,0,0,0,0,0,-7.3795e-08,-0.00035172,-0.00072559,0.0002533,1.0e-14
11.004,0,0,0,0,0,0,-7.6344e-08,-0.00022422,-0.0007965,0.00013329,1.0e-14
11.341,0,0,0,0,0,0,-7.1683e-08,-0.00035901,-0.00065643,0,1.0e-14
10.874,0,0,0,0,0,0,-7.4101e-08,-0.00021769,-0.00058398,0.00016043,1.0e-14
11.611,0,0,0,0,0,0,-6.3747e-08,-0.0005969,-0.00057424,0,1.0e-14
11.22,0,0,0,0,0,0,-6.8582e-08,-0.00044549,-0.00055091,0.00023771,1.0e-14
8.3123,-4.7743e-06,-7.9973e-06,1.6943e-06,-4.7743e-06,-7.9973e-06,1.6943e-06,-7.2971e-08,-0.00050276,-0.00084657,0.0001748,1.0e-14
8.3006,-5.731e-06,-6.0106e-06,2.8314e-06,-5.731e-06,-6.0106e-06,2.8314e-06,-6.7361e-08,-0.00065347,-0.00068443,0.0003233,1.0e-14
8.3053,-4.1127e-06,-7.0652e-06,3.9439e-06,-4.1127e-06,-7.0652e-06,3.9439e-06,-7.4181e-08,-0.00045149,-0.0007793,0.00043456,1.0e-14
10.863,0,0,0,0,0,0,-8.1111e-08,0.00019201,-0.00061171,0.00015053,1.0e-14
10.828,0,0,0,0,0,0,-8.0356e-08,0.00020469,-0.0003833,0.00018289,1.0e-14
10.872,0,0,0,0,0,0,-7.7435e-08,2.1955e-05,-0.0004601,0,1.0e-14
10.822,0,0,0,0,0,0,-7.7594e-08,-1.5607e-05,-0.00053594,0.00020868,1.0e-14
10.877,0,0,0,0,0,0,-8.1053e-08,0.0001745,-0.00056042,0.00034472,1.0e-14
11.238,0,0,0,0,0,0,-7.8746e-08,-5.5229e-05,-0.00075763,0.00025347,1.0e-14
11.246,0,0,0,0,0,0,-8.324e-08,0.00035506,-0.00059376,0.00024216,1.0e-14
11.256,0,0,0,0,0,0,-7.8266e-08,-7.9416e-05,-0.00054995,0.00054995,1.0e-14
11.241,0,0,0,0,0,0,-8.0773e-08,6.6709e-05,-0.00068052,0.00048247,1.0e-14
11.335,0,0,0,0,0,0,-8.2772e-08,0.00025128,-0.00074109,0.00031217,1.0e-14
11.101,0,0,0,0,0,0,-8.331e-08,0.00029726,-0.00066172,0.00044933,1.0e-14
8.2591,1.7983e-06,-6.414e-06,3.6642e-06,1.7983e-06,-6.414e-06,3.6642e-06,-8.358e-08,0.00024131,-0.00084299,0.00048076,1.0e-14
8.245,4.8024e-08,-6.9575e-06,3.8749e-06,4.8024e-08,-6.9575e-06,3.8749e-06,-8.1244e-08,5.9533e-06,-0.0008737,0.00048643,1.0e-14
8.3121,1.0748e-06,-6.6771e-06,5.1661e-06,1.0748e-06,-6.6771e-06,5.1661e-06,-8.2686e-08,0.00013053,-0.00070106,0.00070106,1.0e-14
8.2692,-8.3739e-07,-6.1221e-06,4.7417e-06,-8.3739e-07,-6.1221e-06,4.7417e-06,-7.999e-08,-0.00010887,-0.0007029,0.0007029,1.0e-14
8.3151,-2.0589e-06,-7.7749e-06,4.4525e-06,-2.0589e-06,-7.7749e-06,4.4525e-06,-7.8337e-08,-0.0002283,-0.00084488,0.0004838,1.0e-14
11.011,0,0,0,0,0,0,-8.2441e-08,0.00022487,-0.0007931,0.00014583,1.0e-14
11.002,0,0,0,0,0,0,-8.0777e-08,0.00014242,-0.00070768,0,1.0e-14
11.015,0,0,0,0,0,0,-8.0091e-08,0,-0.00096593,0,1.0e-14
10.781,0,0,0,0,0,0,-8.1636e-08,0.00028044,-0.00046735,0,1.0e-14
8.3322,4.8199e-06,-8.0206e-06,1.6815e-06,4.8199e-06,-8.0206e-06,1.6815e-06,-8.5767e-08,0.00050565,-0.00084523,0.00017295,1.0e-14
8.3707,3.8727e-06,-1.0719e-05,1.354e-06,3.8727e-06,-1.0719e-05,1.354e-06,-8.3625e-08,0.00025882,-0.00096593,0,1.0e-14
8.3854,1.7115e-06,-1.0934e-05,3.5538e-06,1.7115e-06,-1.0934e-05,3.5538e-06,-8.238e-08,0.00012941,-0.00096593,0.00022414,1.0e-14
11.293,0,0,0,0,0,0,-8.4043e-08,0.00040766,-0.00069739,0,1.0e-14
8.1903,3.2806e-06,-5.6804e-06,5.7597e-07,3.2806e-06,-5.6804e-06,5.7597e-07,-8.5552e-08,0.0005,-0.00086603,0,1.0e-14
10.709,0,0,0,0,0,0,-7.5814e-08,-0.00027801,-0.00066573,0.00047376,1.0e-14
8.2669,-2.7752e-06,-6.0226e-06,4.6776e-06,-2.7752e-06,-6.0226e-06,4.6776e-06,-7.6347e-08,-0.00034202,-0.00066446,0.00066446,1.0e-14
10.898,0,0,0,0,0,0,-7.403e-08,-0.00024013,-0.00054564,0.00031838,1.0e-14
11.448,0,0,0,0,0,0,-7.2205e-08,-0.00034909,-0.00048258,0.00048258,1.0e-14
10.9,0,0,0,0,0,0,-7.881e-08,0.00014786,-0.00022922,0,1.0e-14
8.254,-4.2157e-06,-5.0007e-06,3.7402e-06,-4.2157e-06,-5.0007e-06,3.7402e-06,-7.1059e-08,-0.00055557,-0.00058794,0.00058794,1.0e-14
11.246,0,0,0,0,0,0,-8.5623e-08,0.00058691,-0.0005577,0.00017069,1.0e-14
11.501,0,0,0,0,0,0,-8.472e-08,0.00048205,-0.00056244,0.00033569,1.0e-14
10.798,0,0,0,0,0,0,-8.3621e-08,0.00044538,-0.00029212,0.00029212,1.0e-14
10.787,0,0,0,0,0,0,-8.313e-08,0.00040857,-0.00036732,0.00016146,1.0e-14
8.3227,-1.4763e-06,-9.7214e-06,3.1605e-06,-1.4763e-06,-9.7214e-06,3.1605e-06,-7.9241e-08,-0.00012941,-0.00096593,0.00022414,1.0e-14
10.752,0,0,0,0,0,0,-8.2739e-08,0.00040557,-0.00023493,0,1.0e-14
11.215,0,0,0,0,0,0,-8.5024e-08,0.00055717,-0.00047476,0,1.0e-14
8.2407,-3.8731e-06,-6.7068e-06,6.8541e-07,-3.8731e-06,-6.7068e-06,6.8541e-07,-7.2986e-08,-0.0005,-0.00086603,0,1.0e-14
8.3836,-4.0042e-06,-1.1133e-05,1.4084e-06,-4.0042e-06,-1.1133e-05,1.4084e-06,-7.7625e-08,-0.00025882,-0.00096593,0,1.0e-14
11.039,0,0,0,0,0,0,-7.6838e-08,-0.00011328,-0.00069853,0,1.0e-14
8.296,3.8789e-06,-6.4801e-06,3.5996e-06,3.8789e-06,-6.4801e-06,3.5996e-06,-8.5402e-08,0.00046242,-0.00077522,0.00043036,1.0e-14
11.43,0,0,0,0,0,0,-8.6216e-08,0.00068053,-0.00035197,0.00016136,1.0e-14
8.397,1.1212e-05,-2.7499e-06,1.1235e-06,1.1212e-05,-2.7499e-06,1.1235e-06,-8.8961e-08,0.00097134,-0.00016807,0.00016807,1.0e-14
11.438,0,0,0,0,0,0,-8.5977e-08,0.00067625,-0.00024444,0,1.0e-14
11.217,0,0,0,0,0,0,-8.5713e-08,0.00064868,-0.00018858,0.00018858,1.0e-14
8.3003,6.9466e-06,-4.7631e-06,1.925e-06,6.9466e-06,-4.7631e-06,1.925e-06,-8.7716e-08,0.00080193,-0.00055338,0.00022513,1.0e-14
8.2613,7.3774e-06,-3.2833e-06,1.6398e-06,7.3774e-06,-3.2833e-06,1.6398e-06,-8.8213e-08,0.00088701,-0.00032651,0.00032651,1.0e-14
11.239,0,0,0,0,0,0,-8.5705e-08,0.0006088,-0.00038405,0.00038405,1.0e-14
8.2819,5.69e-06,-5.8225e-06,9.8709e-07,5.69e-06,-5.8225e-06,9.8709e-07,-8.7091e-08,0.00070711,-0.00070711,0,1.0e-14
8.3071,7.9668e-06,-4.264e-06,1.1714e-06,7.9668e-06,-4.264e-06,1.1714e-06,-8.82e-08,0.00086603,-0.0005,0,1.0e-14
8.2731,8.205e-06,-2.4598e-06,9.6947e-07,8.205e-06,-2.4598e-06,9.6947e-07,-8.8852e-08,0.00096593,-0.00025882,0,1.0e-14
11.369,0,0,0,0,0,0,-5.8746e-08,-0.00061535,-0.00042797,0.00015414,1.0e-14
11.222,0,0,0,0,0,0,-4.7844e-08,-0.0006908,-0.0003192,0,1.0e-14
11.241,0,0,0,0,0,0,-4.0834e-08,-0.00075061,-0.00020321,0.00020321,1.0e-14
10.786,0,0,0,0,0,0,-5.5499e-08,-0.00055473,-0.0001685,0.0001685,1.0e-14
10.798,0,0,0,0,0,0,-6.2463e-08,-0.00063873,-0.00048714,0.0003198,1.0e-14
8.2867,-6.441e-06,-4.3429e-06,1.7915e-06,-6.441e-06,-4.3429e-06,1.7915e-06,-5.6093e-08,-0.00081148,-0.00054042,0.00022238,1.0e-14
8.2861,-7.7599e-06,-4.4365e-06,6.8541e-07,-7.7599e-06,-4.4365e-06,6.8541e-07,-4.9811e-08,-0.00086603,-0.0005,0,1.0e-14
11.144,0,0,0,0,0,0,-8.3269e-08,0.00035532,-0.00045191,0.00045191,1.0e-14
10.838,0,0,0,0,0,0,-8.224e-08,0.00037259,-0.0001511,0.0001511,1.0e-14
8.2334,-2.6417e-06,-7.3959e-06,2.1609e-06,-2.6417e-06,-7.3959e-06,2.1609e-06,-7.6576e-08,-0.00032257,-0.00090805,0.00026719,1.0e-14
10.856,0,0,0,0,0,0,-7.2084e-08,-0.00022458,-0.00043936,0,1.0e-14
10.802,0,0,0,0,0,0,-6.8071e-08,-0.00035003,-0.00037427,0.00014049,1.0e-14
11.635,0,0,0,0,0,0,-5.7416e-08,-0.00064745,-0.00032457,0.00032457,1.0e-14
10.875,0,0,0,0,0,0,-6.6082e-08,-0.00042866,-0.00031868,0.00031868,1.0e-14
10.843,0,0,0,0,0,0,-6.4073e-08,-0.00045774,-0.00039643,0,1.0e-14
10.784,0,0,0,0,0,0,-5.5524e-08,-0.00053661,-0.00018465,0,1.0e-14
10.882,0,0,0,0,0,0,-6.6767e-08,-0.00032075,-0.00016251,0.00016251,1.0e-14
10.899,0,0,0,0,0,0,-7.3404e-08,-0.00010111,-0.00022113,0,1.0e-14
10.877,0,0,0,0,0,0,-6.5669e-08,-0.00033761,-0.00020624,0,1.0e-14
10.835,0,0,0,0,0,0,-7.3704e-08,-0.0001601,-0.00033384,0.00033384,1.0e-14
10.841,0,0,0,0,0,0,-7.9479e-08,9.6285e-05,-0.00040686,0.00040686,1.0e-14
10.89,0,0,0,0,0,0,-7.7355e-08,4.5594e-05,-0.00026462,0.00026462,1.0e-14
10.859,0,0,0,0,0,0,-8.0862e-08,0.00024152,-0.00028495,0.00028495,1.0e-14
8.2742,2.9609e-06,-6.0735e-06,4.7083e-06,2.9609e-06,-6.0735e-06,4.7083e-06,-8.4663e-08,0.00036244,-0.00065903,0.00065903,1.0e-14
8.3117,5.1067e-06,-5.8361e-06,4.3553e-06,5.1067e-06,-5.8361e-06,4.3553e-06,-8.6272e-08,0.00057358,-0.00057923,0.00057923,1.0e-14
8.2332,4.6776e-06,-4.8599e-06,2.2734e-06,4.6776e-06,-4.8599e-06,2.2734e-06,-8.6593e-08,0.00065817,-0.00068161,0.0003197,1.0e-14
8.2778,5.8208e-06,-4.2363e-06,2.9971e-06,5.8208e-06,-4.2363e-06,2.9971e-06,-8.7333e-08,0.00075184,-0.00046623,0.00046623,1.0e-14
8.2731,-5.7363e-06,-4.2834e-06,3.0411e-06,-5.7363e-06,-4.2834e-06,3.0411e-06,-6.3381e-08,-0.00073728,-0.00047771,0.00047771,1.0e-14
11.502,0,0,0,0,0,0,-6.654e-08,-0.00054169,-0.00043844,0.00043844,1.0e-14
8.2823,-9.0549e-06,-3.7119e-06,1.4981e-06,-9.0549e-06,-3.7119e-06,1.4981e-06,-3.6727e-08,-0.00091474,-0.00037438,0.00015196,1.0e-14
8.247,-6.4468e-06,-2.942e-06,2.0898e-06,-6.4468e-06,-2.942e-06,2.0898e-06,-4.8086e-08,-0.00087673,-0.00034011,0.00034011,1.0e-14
11.035,0,0,0,0,0,0,-8.1818e-08,0.00017295,-0.00055428,0.00055428,1.0e-14
8.2062,2.3714e-06,-6.5273e-06,1.8961e-06,2.3714e-06,-6.5273e-06,1.8961e-06,-8.4172e-08,0.00032806,-0.00090665,0.00026527,1.0e-14
11.711,0,0,0,0,0,0,-8.6636e-08,0.00075426,0,0,1.0e-14
10.867,0,0,0,0,0,0,-7.5673e-08,1.7037e-05,0,0,1.0e-14
10.899,0,0,0,0,0,0,-7.8618e-08,0.00014004,-0.00014221,0.00014221,1.0e-14
10.884,0,0,0,0,0,0,-7.3848e-08,-8.4692e-05,-0.00015165,0.00015165,1.0e-14
10.909,0,0,0,0,0,0,-8.0383e-08,0.00026278,0,0,1.0e-14
10.729,0,0,0,0,0,0,-8.3856e-08,0.00050852,0,0,1.0e-14
8.2386,-4.8361e-06,-4.9303e-06,8.5455e-07,-4.8361e-06,-4.9303e-06,8.5455e-07,-6.4977e-08,-0.00070711,-0.00070711,0,1.0e-14
10.886,0,0,0,0,0,0,-6.8789e-08,-0.0002287,0,0,1.0e-14
10.855,0,0,0,0,0,0,-5.7528e-08,-0.00047444,0,0,1.0e-14
8.4391,0.00048756,0.00011118,-2.263e-05,-1.484e-05,-3.3842e-06,6.8882e-07,0,-0.00096593,-0.00025882,0,1.0e-14
11.649,0,0,0,0,0,0,-3.7334e-08,-0.00072019,0,0,1.0e-14
8.3762,0.00038646,7.519e-05,-4.7338e-05,-1.2648e-05,-2.4607e-06,1.5492e-06,0,-0.00096593,-0.00018301,0.00018301,1.0e-14
11.504,0.00015746,-0,-0,-1.951e-19,0,0,0,-0.00096593,0,0,1.0e-14
8.2006,7.1468e-06,-9.4089e-07,2.7772e-07,7.1468e-06,-9.4089e-07,2.7772e-07,-8.8781e-08,0.001,0,0,1.0e-14
1.2,0,0,0,0,0,0,-0.099676,0.0010275,-0.00050801,0.00050801,1.0e-14
1.2,0,0,0,0,0,0,-0.099677,0.0010817,-0.00064132,0.00029332,1.0e-14
1.2,0,0,0,0,0,0,-0.099676,0.0009075,-0.00065802,0.0002309,1.0e-14
1.2,0,0,0,0,0,0,-0.099677,0.0010799,-0.00049806,0.00031952,1.0e-14
1.2,0,0,0,0,0,0,-0.099677,0.0011504,-0.0007017,0.00050682,1.0e-14
1.2,0,0,0,0,0,0,-0.099676,0.0011015,-0.00082681,0.00045166,1.0e-14
1.2,0,0,0,0,0,0,-0.099677,0.0011958,-0.0007958,0.00024497,1.0e-14
1.2,0,0,0,0,0,0,-0.099676,0.00087353,-0.00078954,0.00054255,1.0e-14
1.2,0,0,0,0,0,0,-0.099678,0.0022093,-0.00081594,0.00048763,1.0e-14
1.2,0,0,0,0,0,0,-0.099678,0.0021118,-0.00058053,0.00038174,1.0e-14
1.2,5.4846e-06,3.9916e-06,-2.824e-06,5.4846e-06,3.9916e-06,-2.824e-06,-0.099678,0.0022482,-0.00046623,0.00046623,1.0e-14
1.2,5.1355e-06,5.3356e-06,-2.496e-06,5.1355e-06,5.3356e-06,-2.496e-06,-0.099678,0.0023418,-0.00068161,0.0003197,1.0e-14
1.2,0,0,0,0,0,0,-0.099678,0.0018789,-0.00059407,0.00024017,1.0e-14
1.2,0,0,0,0,0,0,-0.099678,0.0019558,-0.00047797,0.00047797,1.0e-14
1.2,0,0,0,0,0,0,-0.099677,0.0019301,-0.00042729,0.00015466,1.0e-14
1.2,0,0,0,0,0,0,-0.099678,0.0021585,-0.00064616,0.00064616,1.0e-14
1.2,0,0,0,0,0,0,-0.099678,0.0019783,-0.00073246,0.00042728,1.0e-14
1.2,0,0,0,0,0,0,-0.099677,0.0018115,-0.00069952,0.00049634,1.0e-14
1.2,7.3385e-06,3.266e-06,-1.6311e-06,7.3385e-06,3.266e-06,-1.6311e-06,-0.099678,0.002113,-0.00032651,0.00032651,1.0e-14
1.2,7.0759e-06,4.8517e-06,-1.9608e-06,7.0759e-06,4.8517e-06,-1.9608e-06,-0.099678,0.0021981,-0.00055338,0.00022513,1.0e-14
1.2,0,0,0,0,0,0,-0.099677,0.0010328,-0.00047529,0.00018878,1.0e-14
1.2,0,0,0,0,0,0,-0.099677,0.0011504,-0.00029698,0.00029698,1.0e-14
1.2,0,0,0,0,0,0,-0.099677,0.0011428,-0.00042374,0.00014503,1.0e-14
1.2,1.1212e-05,-2.7499e-06,1.1235e-06,1.1212e-05,-2.7499e-06,1.1235e-06,-0.099677,0.00097134,-0.00016807,0.00016807,1.0e-14
1.2,0,0,0,0,0,0,-0.099677,0.0011052,-0.00069346,0,1.0e-14
